id,role,last affiliation country,first publication year,tools,disciplines
00052f9acd6118313a3c5ea01a589660,Bachelor/Master student,Germany,I haven't published (yet),MS Word,Sciences sociales et économie
00066d117085a44ef05279abcf759324,Professor / Associate professor / Assistant professor,Spain,2006-2010,MS Word | LaTeX,Sciences sociales et économie
0008799ec4ee889c276266db7363e69c,Professor / Associate professor / Assistant professor,Hungary,1991-2000,MS Word | Google Drive/Docs,Arts et Lettres
000fb961c55a69635fcb7f8a4041e547,Professor / Associate professor / Assistant professor,Brazil,1991-2000,MS Word,Ingénierie & technologie | Sciences sociales et économie
001166b3b364fd5288a83f2b5a6b4674,PhD student,Norway,1991-2000,MS Word,Sciences physiques | Sciences sociales et économie
0012a64828f6cde840a99343a0c3afc5,PhD student,United Kingdom,2011-2016,MS Word | Google Drive/Docs,Sciences sociales et économie
0012d1db442afe9b8ada4a32a922f53f,Professor / Associate professor / Assistant professor,Iran,2006-2010,MS Word,Sciences sociales et économie
00141de81cdbea22c85732c68f49fa5a,PhD student,Czech Republic,2011-2016,MS Word,Ingénierie & technologie | Sciences sociales et économie
001494d625fb91b6dac3f8a97c0bca4d,PhD student,Costa Rica,2011-2016,MS Word | Google Drive/Docs,Ingénierie & technologie
00149eda7abee64e4d87935f7d302fa8,Professor / Associate professor / Assistant professor,United States,2001-2005,MS Word,Sciences sociales et économie
001716e068623fe498df50d926ae7ec0,Professor / Associate professor / Assistant professor,United States,1991-2000,MS Word | Google Drive/Docs,Sciences de la vie
001a6b1243a88bdf507280c42d7a0b08,Professor / Associate professor / Assistant professor,Netherlands,before 1991,MS Word | LaTeX,Sciences physiques
001cc8357a89148a5f4790e38280d6bf,Professor / Associate professor / Assistant professor,Italy,before 1991,MS Word,Médecine
0022bb294f5112d6f98b388e2341401a,Postdoc,United Kingdom,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
0026f7e9767ad48751d1537a2264b4b9,Postdoc,United Kingdom,2006-2010,MS Word | LaTeX,Sciences de la vie
00327eb8cb74447781b19cac14bd875f,Professor / Associate professor / Assistant professor,France,2006-2010,OpenOffice | MS Word | Google Drive/Docs,Sciences de la vie
00339aa1086f733486c640ea68bd8245,PhD student,Netherlands,2006-2010,MS Word,Sciences de la vie | Médecine | Sciences sociales et économie
00387254a601990d55e87b88f8a54002,Professor / Associate professor / Assistant professor,Macedonia,2006-2010,MS Word,Sciences sociales et économie
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,ShareLaTeX | MS Word | Google Drive/Docs | LaTeX | Overleaf (=WriteLaTeX),Ingénierie & technologie | Médecine
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,MS Word | LaTeX,Sciences physiques | Ingénierie & technologie | Sciences de la vie
004e09c7e5d482cf82798d30faffef54,Professor / Associate professor / Assistant professor,Chile,before 1991,MS Word | Google Drive/Docs,Médecine
005282803cdacb484fdcfbf78d6da3c2,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word | Google Drive/Docs,Sciences de la vie | Sciences sociales et économie
005e9ea95d386dbb1622e9d4435aa3eb,Industry / Government,Finland,1991-2000,MS Word | Google Drive/Docs | Overleaf (=WriteLaTeX),Ingénierie & technologie
005edecc6138223133cc3b4bbecb8a6d,Bachelor/Master student,Germany,I haven't published (yet),OpenOffice | MS Word,Sciences physiques | Ingénierie & technologie | Sciences sociales et économie
005f44e18273423202049eca2483cdb8,Professor / Associate professor / Assistant professor,South Africa,1991-2000,LaTeX,Ingénierie & technologie
0060f69ac21749436a52e3d580bedc94,PhD student,Germany,2011-2016,Mendeley | Evernote | MS Word | Google Drive/Docs,Ingénierie & technologie
00655e3eafc9cfde85f20d9470411006,PhD student,Germany,2011-2016,MS Word | Google Drive/Docs | LaTeX,Ingénierie & technologie
00666ea3891a8c38cf29a1d46255de5e,Other,United States,before 1991,MS Word,Sciences sociales et économie
