toolName,famille,discipline,total_respondants_discipline,count,fractionOfUse,percentageOfUse
MS Word,Word et apparentés,Sciences sociales et économie,6353,5170.266666666658,NaN,NaN
MS Word,Word et apparentés,Sciences de la vie,5162,3962.0833333333567,NaN,NaN
MS Word,Word et apparentés,Médecine,3803,2987.0666666666743,NaN,NaN
MS Word,Word et apparentés,Arts et Lettres,3154,2369.433333333334,NaN,NaN
MS Word,Word et apparentés,Droit,505,269.65000000000026,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,6353,556.8666666666668,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,5162,536.2999999999997,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Médecine,3803,164.91666666666663,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Arts et Lettres,3154,159.59999999999997,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Droit,505,17.21666666666666,NaN,NaN
Google Drive/Docs,Word et apparentés,Sciences sociales et économie,6353,2084.40714285714,NaN,NaN
Google Drive/Docs,Word et apparentés,Sciences de la vie,5162,1221.9904761904752,NaN,NaN
Google Drive/Docs,Word et apparentés,Médecine,3803,793.1238095238103,NaN,NaN
Google Drive/Docs,Word et apparentés,Arts et Lettres,3154,1070.0404761904765,NaN,NaN
Google Drive/Docs,Word et apparentés,Droit,505,110.82380952380944,NaN,NaN
OpenOffice,Word et apparentés,Sciences sociales et économie,6353,61.34523809523811,NaN,NaN
OpenOffice,Word et apparentés,Sciences de la vie,5162,31.84523809523809,NaN,NaN
OpenOffice,Word et apparentés,Médecine,3803,13.761904761904761,NaN,NaN
OpenOffice,Word et apparentés,Arts et Lettres,3154,53.011904761904766,NaN,NaN
OpenOffice,Word et apparentés,Droit,505,5.595238095238095,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,6353,3.3333333333333335,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Sciences de la vie,5162,4,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Médecine,3803,0.5,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Arts et Lettres,3154,1.8333333333333333,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Droit,505,0,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Sciences sociales et économie,6353,58.63809523809525,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Sciences de la vie,5162,79.13809523809523,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Médecine,3803,24.27142857142857,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Arts et Lettres,3154,28.888095238095236,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Droit,505,3.0714285714285716,NaN,NaN
Mendeley,autre,Sciences sociales et économie,6353,3.142857142857143,NaN,NaN
Mendeley,autre,Sciences de la vie,5162,5.142857142857142,NaN,NaN
Mendeley,autre,Médecine,3803,0.14285714285714285,NaN,NaN
Mendeley,autre,Arts et Lettres,3154,0.14285714285714285,NaN,NaN
Mendeley,autre,Droit,505,0.14285714285714285,NaN,NaN
Evernote,autre,Sciences sociales et économie,6353,21.45238095238095,NaN,NaN
Evernote,autre,Sciences de la vie,5162,11.952380952380953,NaN,NaN
Evernote,autre,Médecine,3803,6.952380952380953,NaN,NaN
Evernote,autre,Arts et Lettres,3154,30.452380952380953,NaN,NaN
Evernote,autre,Droit,505,2.2857142857142856,NaN,NaN
GitHub,balisage et texte brut,Sciences sociales et économie,6353,0.75,NaN,NaN
GitHub,balisage et texte brut,Sciences de la vie,5162,5.916666666666667,NaN,NaN
GitHub,balisage et texte brut,Médecine,3803,0.9166666666666666,NaN,NaN
GitHub,balisage et texte brut,Arts et Lettres,3154,0.5,NaN,NaN
GitHub,balisage et texte brut,Droit,505,0,NaN,NaN
Bitbucket,autre,Sciences sociales et économie,6353,1,NaN,NaN
Bitbucket,autre,Sciences de la vie,5162,0,NaN,NaN
Bitbucket,autre,Médecine,3803,0,NaN,NaN
Bitbucket,autre,Arts et Lettres,3154,0,NaN,NaN
Bitbucket,autre,Droit,505,0,NaN,NaN
MS Excel,autre,Sciences sociales et économie,6353,24.45,NaN,NaN
MS Excel,autre,Sciences de la vie,5162,16.866666666666667,NaN,NaN
MS Excel,autre,Médecine,3803,8.366666666666667,NaN,NaN
MS Excel,autre,Arts et Lettres,3154,10.45,NaN,NaN
MS Excel,autre,Droit,505,1.2,NaN,NaN
MS Powerpoint,autre,Sciences sociales et économie,6353,21.833333333333332,NaN,NaN
MS Powerpoint,autre,Sciences de la vie,5162,35.58333333333333,NaN,NaN
MS Powerpoint,autre,Médecine,3803,8.666666666666668,NaN,NaN
MS Powerpoint,autre,Arts et Lettres,3154,11.75,NaN,NaN
MS Powerpoint,autre,Droit,505,0,NaN,NaN
Adobe Photoshop,autre,Sciences sociales et économie,6353,1.6428571428571428,NaN,NaN
