famille,discipline_category,count,total_respondants_discipline,fractionOfUse,percentageOfUse
Word et apparentés,SHS,5287.733333333313,6353,0.8323206883886846,83.23206883886846
Word et apparentés,STEM,7944.983333333292,10051,0.7904669518787476,79.04669518787476
Word et apparentés,Médecine,3049.316666666668,3803,0.8018187395915509,80.1818739591551
Word et apparentés,Arts et Lettres,2444.0666666666684,3154,0.774910166983725,77.49101669837249
Word et apparentés,Droit,279.89999999999964,505,0.5542574257425735,55.425742574257356
format/éditeur apparenté à TeX,SHS,600.9833333333335,6353,0.0945983524843906,9.45983524843906
format/éditeur apparenté à TeX,STEM,2902.150000000002,10051,0.2887424136901803,28.874241369018026
format/éditeur apparenté à TeX,Médecine,188.23333333333338,3803,0.04949601192041372,4.949601192041372
format/éditeur apparenté à TeX,Arts et Lettres,181.1500000000001,3154,0.05743500317057707,5.743500317057707
format/éditeur apparenté à TeX,Droit,22.483333333333324,505,0.0445214521452145,4.45214521452145
autre,SHS,164.76666666666665,6353,0.025935253685922657,2.5935253685922657
autre,STEM,298.0999999999999,10051,0.029658740423838415,2.9658740423838417
autre,Médecine,92.1,3803,0.024217722850381276,2.4217722850381276
autre,Arts et Lettres,159.26666666666665,3154,0.050496723737053474,5.049672373705348
autre,Droit,8.766666666666666,505,0.017359735973597357,1.7359735973597357
balisage et texte brut,SHS,44.66666666666667,6353,0.007030799097539221,0.7030799097539221
balisage et texte brut,STEM,126.49999999999999,10051,0.012585812356979404,1.2585812356979404
balisage et texte brut,Médecine,14.5,3803,0.0038127793846962923,0.3812779384696292
balisage et texte brut,Arts et Lettres,45.333333333333336,3154,0.014373282604100614,1.4373282604100615
balisage et texte brut,Droit,3,505,0.005940594059405941,0.594059405940594
autres bureautique (wysiwyg),SHS,480.3999999999996,6353,0.07561781835353369,7.5617818353533695
autres bureautique (wysiwyg),STEM,624.816666666667,10051,0.06216462706861675,6.216462706861675
autres bureautique (wysiwyg),Médecine,167.9833333333334,3803,0.04417126829695856,4.417126829695857
autres bureautique (wysiwyg),Arts et Lettres,320.8999999999998,3154,0.10174381737476215,10.174381737476216
autres bureautique (wysiwyg),Droit,29.899999999999988,505,0.059207920792079184,5.920792079207918
