id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
000fb961c55a69635fcb7f8a4041e547,Professor / Associate professor / Assistant professor,Brazil,1991-2000,0.3333333333333333,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
00141de81cdbea22c85732c68f49fa5a,PhD student,Czech Republic,2011-2016,0.3333333333333333,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
001494d625fb91b6dac3f8a97c0bca4d,PhD student,Costa Rica,2011-2016,0.3333333333333333,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
001494d625fb91b6dac3f8a97c0bca4d,PhD student,Costa Rica,2011-2016,0.3333333333333333,Google Drive/Docs,wysiwyg bureautique,Ingénierie & technologie,STEM
002f81800bb0cfbc1ff9f6f1a30fb9b1,Other,United Kingdom,before 1991,0.125,inconnu,autre,Ingénierie & technologie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,ShareLaTeX,tex,Ingénierie & technologie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,Google Drive/Docs,wysiwyg bureautique,Ingénierie & technologie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,LaTeX,tex,Ingénierie & technologie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,Overleaf (=WriteLaTeX),tex,Ingénierie & technologie,STEM
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,LaTeX,tex,Ingénierie & technologie,STEM
005e9ea95d386dbb1622e9d4435aa3eb,Industry / Government,Finland,1991-2000,0.25,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
005e9ea95d386dbb1622e9d4435aa3eb,Industry / Government,Finland,1991-2000,0.25,Google Drive/Docs,wysiwyg bureautique,Ingénierie & technologie,STEM
005e9ea95d386dbb1622e9d4435aa3eb,Industry / Government,Finland,1991-2000,0.25,Overleaf (=WriteLaTeX),tex,Ingénierie & technologie,STEM
005edecc6138223133cc3b4bbecb8a6d,Bachelor/Master student,Germany,I haven't published (yet),0.2,OpenOffice,wysiwyg bureautique,Ingénierie & technologie,STEM
005edecc6138223133cc3b4bbecb8a6d,Bachelor/Master student,Germany,I haven't published (yet),0.2,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
005f44e18273423202049eca2483cdb8,Professor / Associate professor / Assistant professor,South Africa,1991-2000,0.5,LaTeX,tex,Ingénierie & technologie,STEM
0060f69ac21749436a52e3d580bedc94,PhD student,Germany,2011-2016,0.2,Mendeley,autre,Ingénierie & technologie,STEM
0060f69ac21749436a52e3d580bedc94,PhD student,Germany,2011-2016,0.2,Evernote,autre,Ingénierie & technologie,STEM
0060f69ac21749436a52e3d580bedc94,PhD student,Germany,2011-2016,0.2,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
0060f69ac21749436a52e3d580bedc94,PhD student,Germany,2011-2016,0.2,Google Drive/Docs,wysiwyg bureautique,Ingénierie & technologie,STEM
00655e3eafc9cfde85f20d9470411006,PhD student,Germany,2011-2016,0.25,MS Word,wysiwyg bureautique,Ingénierie & technologie,STEM
00655e3eafc9cfde85f20d9470411006,PhD student,Germany,2011-2016,0.25,Google Drive/Docs,wysiwyg bureautique,Ingénierie & technologie,STEM
00655e3eafc9cfde85f20d9470411006,PhD student,Germany,2011-2016,0.25,LaTeX,tex,Ingénierie & technologie,STEM
