id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
001716e068623fe498df50d926ae7ec0,Professor / Associate professor / Assistant professor,United States,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
001716e068623fe498df50d926ae7ec0,Professor / Associate professor / Assistant professor,United States,1991-2000,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
0026f7e9767ad48751d1537a2264b4b9,Postdoc,United Kingdom,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
0026f7e9767ad48751d1537a2264b4b9,Postdoc,United Kingdom,2006-2010,0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
00327eb8cb74447781b19cac14bd875f,Professor / Associate professor / Assistant professor,France,2006-2010,0.25,OpenOffice,Word et apparentés,Sciences de la vie,STEM
00327eb8cb74447781b19cac14bd875f,Professor / Associate professor / Assistant professor,France,2006-2010,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
00327eb8cb74447781b19cac14bd875f,Professor / Associate professor / Assistant professor,France,2006-2010,0.25,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
00339aa1086f733486c640ea68bd8245,PhD student,Netherlands,2006-2010,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,MS Word,Word et apparentés,Sciences de la vie,STEM
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
005282803cdacb484fdcfbf78d6da3c2,Professor / Associate professor / Assistant professor,United States,before 1991,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
005282803cdacb484fdcfbf78d6da3c2,Professor / Associate professor / Assistant professor,United States,before 1991,0.25,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
006a0900219a3a3de407879580eb1d04,Postdoc,Germany,2006-2010,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
006a0900219a3a3de407879580eb1d04,Postdoc,Germany,2006-2010,0.25,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
006c149e61560c62d8dabade703dc524,Industry / Government,France,1991-2000,0.2,MS Excel,autre,Sciences de la vie,STEM
006c149e61560c62d8dabade703dc524,Industry / Government,France,1991-2000,0.2,MS Powerpoint,autre,Sciences de la vie,STEM
006c149e61560c62d8dabade703dc524,Industry / Government,France,1991-2000,0.2,Adobe Photoshop,autre,Sciences de la vie,STEM
006c149e61560c62d8dabade703dc524,Industry / Government,France,1991-2000,0.2,MS Word,Word et apparentés,Sciences de la vie,STEM
008d99bbcc7bbb72662771902368f8cf,Professor / Associate professor / Assistant professor,Portugal,1991-2000,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
008d99bbcc7bbb72662771902368f8cf,Professor / Associate professor / Assistant professor,Portugal,1991-2000,0.25,Scrivener,autres bureautique (wysiwyg),Sciences de la vie,STEM
009e4784696d0c66ef932d03bd2f53ff,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
00cd74ce06a431b078bab17d4b1d02f6,Other,Germany,I haven't published (yet),0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
00d23d55bdf72a25825751f7ce8e0b2c,Professor / Associate professor / Assistant professor,United States,I haven't published (yet),0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
00e6d564b7404bc2f3322964e9ef4937,Professor / Associate professor / Assistant professor,United Kingdom,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
00f1aa02e7bb7607887bd665f0127c1f,Librarian,Sweden,I haven't published (yet),0.25,Pages,autres bureautique (wysiwyg),Sciences de la vie,STEM
00f1aa02e7bb7607887bd665f0127c1f,Librarian,Sweden,I haven't published (yet),0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
00fc7722be52be1a21f1cb75fe9e9f58,Librarian,United States,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
00fc7722be52be1a21f1cb75fe9e9f58,Librarian,United States,I haven't published (yet),0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
0108a3acedbde46f64ea91137c4d8875,Professor / Associate professor / Assistant professor,United States,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
011a0d94682ccb55a1b3362722634139,Postdoc,Germany,2011-2016,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
01416e5248231b687489728fbfd1c994,Librarian,United States,1991-2000,0.2,Box,autres bureautique (wysiwyg),Sciences de la vie,STEM
01416e5248231b687489728fbfd1c994,Librarian,United States,1991-2000,0.2,MS Word,Word et apparentés,Sciences de la vie,STEM
01416e5248231b687489728fbfd1c994,Librarian,United States,1991-2000,0.2,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
014f153c20b5e6a2f3641f886ef1db33,Professor / Associate professor / Assistant professor,Spain,2006-2010,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
015d50f2e0b005b1b0fffb111743f422,Professor / Associate professor / Assistant professor,Colombia,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
015fad6128b0a4e15cb6054a79a276b9,Professor / Associate professor / Assistant professor,Germany,1991-2000,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
016563dde6945144483e94f11aa6081d,Professor / Associate professor / Assistant professor,United States,before 1991,0.25,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
01a66937a36b7e9bae5af61deed09cf5,Professor / Associate professor / Assistant professor,United States,2006-2010,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
01ac4c459b695c3c8eb7d8fa8d216647,Professor / Associate professor / Assistant professor,Netherlands,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
01acb9e5c8abef51638eeb2dffa01dd1,Postdoc,Germany,2001-2005,0.3333333333333333,WordPerfect,autres bureautique (wysiwyg),Sciences de la vie,STEM
01acb9e5c8abef51638eeb2dffa01dd1,Postdoc,Germany,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
01c06fa09d29fd4c0edc40bd92448691,Librarian,Canada,2011-2016,0.16666666666666666,TextWrangler,balisage et texte brut,Sciences de la vie,STEM
01c06fa09d29fd4c0edc40bd92448691,Librarian,Canada,2011-2016,0.16666666666666666,MS Word,Word et apparentés,Sciences de la vie,STEM
01c06fa09d29fd4c0edc40bd92448691,Librarian,Canada,2011-2016,0.16666666666666666,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
01c06fa09d29fd4c0edc40bd92448691,Librarian,Canada,2011-2016,0.16666666666666666,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
01c06fa09d29fd4c0edc40bd92448691,Librarian,Canada,2011-2016,0.16666666666666666,Scrivener,autres bureautique (wysiwyg),Sciences de la vie,STEM
01c3eb94f2914b2e4f620932ec307ee0,Postdoc,Switzerland,2006-2010,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
01dd6e702b9cdc58e22e84bd42a6efc5,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
01e71c2f45363373aeaa968d40e7ec15,Professor / Associate professor / Assistant professor,France,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,0.1111111111111111,MS Word,Word et apparentés,Sciences de la vie,STEM
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,0.1111111111111111,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
020f976d42d17af8857a5a0b00047381,PhD student,Germany,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
020f976d42d17af8857a5a0b00047381,PhD student,Germany,I haven't published (yet),0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
021e5da9444c967324da787873e35ae6,Librarian,Netherlands,1991-2000,0.25,MS Word,Word et apparentés,Sciences de la vie,STEM
021e5da9444c967324da787873e35ae6,Librarian,Netherlands,1991-2000,0.25,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
021e5da9444c967324da787873e35ae6,Librarian,Netherlands,1991-2000,0.25,Authorea,autres bureautique (wysiwyg),Sciences de la vie,STEM
022d536f2079351e5de582ba8f21544e,Postdoc,United States,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
022d536f2079351e5de582ba8f21544e,Postdoc,United States,2001-2005,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
02301e0ee1b49960d9a6175c3d70486d,Professor / Associate professor / Assistant professor,United States,2001-2005,0.2,MS Word,Word et apparentés,Sciences de la vie,STEM
02301e0ee1b49960d9a6175c3d70486d,Professor / Associate professor / Assistant professor,United States,2001-2005,0.2,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
02353ba3d4f9d124903147f05f4aee44,Other,France,2011-2016,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
02353c89ce454ab64dd23949cf56d1e7,Other,France,2011-2016,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
024f34a2db82fb292cd2b8c52fa7179c,Professor / Associate professor / Assistant professor,Argentina,2006-2010,0.3333333333333333,Markdown,,Sciences de la vie,STEM
024f34a2db82fb292cd2b8c52fa7179c,Professor / Associate professor / Assistant professor,Argentina,2006-2010,0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM
025f27f029c20ac607069d12612fda37,Other,Germany,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
0276ff4cf7bf970116b271e996e2baee,PhD student,Netherlands,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
0276ff4cf7bf970116b271e996e2baee,PhD student,Netherlands,I haven't published (yet),0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
027b7a7e2e377393a03736c6f692994b,Professor / Associate professor / Assistant professor,China,2006-2010,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
028b8f21d2aba89ef6e4aa35de058726,Postdoc,Germany,2001-2005,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
028be0bccc7c13ebfa2e69b15d011a6d,Other,France,before 1991,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
028d9970c6dad1030f0641606bb24150,Professor / Associate professor / Assistant professor,India,2001-2005,0.5,MS Word,Word et apparentés,Sciences de la vie,STEM
028eb80e869eb25b820dee0ebe07a2e8,PhD student,Netherlands,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences de la vie,STEM
028eb80e869eb25b820dee0ebe07a2e8,PhD student,Netherlands,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM
