id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
00052f9acd6118313a3c5ea01a589660,Bachelor/Master student,Germany,I haven't published (yet),0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00066d117085a44ef05279abcf759324,Professor / Associate professor / Assistant professor,Spain,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00066d117085a44ef05279abcf759324,Professor / Associate professor / Assistant professor,Spain,2006-2010,0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS
000fb961c55a69635fcb7f8a4041e547,Professor / Associate professor / Assistant professor,Brazil,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
001166b3b364fd5288a83f2b5a6b4674,PhD student,Norway,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0012a64828f6cde840a99343a0c3afc5,PhD student,United Kingdom,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0012a64828f6cde840a99343a0c3afc5,PhD student,United Kingdom,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
0012d1db442afe9b8ada4a32a922f53f,Professor / Associate professor / Assistant professor,Iran,2006-2010,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00141de81cdbea22c85732c68f49fa5a,PhD student,Czech Republic,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00149eda7abee64e4d87935f7d302fa8,Professor / Associate professor / Assistant professor,United States,2001-2005,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0022bb294f5112d6f98b388e2341401a,Postdoc,United Kingdom,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0022bb294f5112d6f98b388e2341401a,Postdoc,United Kingdom,I haven't published (yet),0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
00339aa1086f733486c640ea68bd8245,PhD student,Netherlands,2006-2010,0.25,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00387254a601990d55e87b88f8a54002,Professor / Associate professor / Assistant professor,Macedonia,2006-2010,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
005282803cdacb484fdcfbf78d6da3c2,Professor / Associate professor / Assistant professor,United States,before 1991,0.25,MS Word,Word et apparentés,Sciences sociales et économie,SHS
005282803cdacb484fdcfbf78d6da3c2,Professor / Associate professor / Assistant professor,United States,before 1991,0.25,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
005edecc6138223133cc3b4bbecb8a6d,Bachelor/Master student,Germany,I haven't published (yet),0.2,OpenOffice,Word et apparentés,Sciences sociales et économie,SHS
005edecc6138223133cc3b4bbecb8a6d,Bachelor/Master student,Germany,I haven't published (yet),0.2,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00666ea3891a8c38cf29a1d46255de5e,Other,United States,before 1991,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
006feeda290ac101e50af29b549ee0f6,PhD student,Indonesia,2011-2016,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0079de902efb198c05d6e136d77f4d84,Publisher,Spain,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0079de902efb198c05d6e136d77f4d84,Publisher,Spain,2001-2005,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
00885f68fb00957b89d0c93edeed4ab2,Professor / Associate professor / Assistant professor,Australia,before 1991,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0090eec9be9b06bf6c568a57bf8df592,Professor / Associate professor / Assistant professor,Philippines,2011-2016,0.2,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0090eec9be9b06bf6c568a57bf8df592,Professor / Associate professor / Assistant professor,Philippines,2011-2016,0.2,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
0090eec9be9b06bf6c568a57bf8df592,Professor / Associate professor / Assistant professor,Philippines,2011-2016,0.2,Scalar,autre,Sciences sociales et économie,SHS
00925176ea4d8aca0cbe5529c9cc13d2,Professor / Associate professor / Assistant professor,Germany,before 1991,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00925176ea4d8aca0cbe5529c9cc13d2,Professor / Associate professor / Assistant professor,Germany,before 1991,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
0094df23219a5734ffbae378d93336d2,Professor / Associate professor / Assistant professor,Hungary,1991-2000,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
009daa4dcdecead93f5b9ba0c52c0832,Postdoc,Sweden,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
009daa4dcdecead93f5b9ba0c52c0832,Postdoc,Sweden,1991-2000,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
009fc548dfbe7b48ef0b206d5c6410ae,Professor / Associate professor / Assistant professor,Switzerland,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
009fc548dfbe7b48ef0b206d5c6410ae,Professor / Associate professor / Assistant professor,Switzerland,2011-2016,0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS
00afb90873aa5513c6ada4cb207d61bc,Professor / Associate professor / Assistant professor,Israel,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00afb90873aa5513c6ada4cb207d61bc,Professor / Associate professor / Assistant professor,Israel,2006-2010,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
00bffa302666b31da1df693c5e9b35de,Professor / Associate professor / Assistant professor,Luxembourg,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00bffa302666b31da1df693c5e9b35de,Professor / Associate professor / Assistant professor,Luxembourg,2001-2005,0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS
00c79bd3d5241a9fe58e07c8f88ba15d,Bachelor/Master student,United Kingdom,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00c79bd3d5241a9fe58e07c8f88ba15d,Bachelor/Master student,United Kingdom,I haven't published (yet),0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
00d4ab9ef7cb114a5d3f94ea00126e29,Professor / Associate professor / Assistant professor,Croatia,before 1991,0.25,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00d4ab9ef7cb114a5d3f94ea00126e29,Professor / Associate professor / Assistant professor,Croatia,before 1991,0.25,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
00d9660b43ce5d83319594e6349e41ae,Bachelor/Master student,Poland,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00d9660b43ce5d83319594e6349e41ae,Bachelor/Master student,Poland,I haven't published (yet),0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
00dc2acd22a8b6f254222e46def00511,Postdoc,United States,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
00dc2acd22a8b6f254222e46def00511,Postdoc,United States,2006-2010,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
011e869ab6df1bc1d99cd01a2ae705c0,Professor / Associate professor / Assistant professor,Germany,before 1991,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
011e869ab6df1bc1d99cd01a2ae705c0,Professor / Associate professor / Assistant professor,Germany,before 1991,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
0120b5aafc284cc4f9aa9ba21a3e23d2,PhD student,Ukraine,2011-2016,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
015822c461368d128c9e1df2b529b094,Professor / Associate professor / Assistant professor,United States,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
015822c461368d128c9e1df2b529b094,Professor / Associate professor / Assistant professor,United States,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
015cddff1b3af5eb4e27085c47d5d98d,PhD student,Nigeria,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
015cddff1b3af5eb4e27085c47d5d98d,PhD student,Nigeria,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
0162b68a96f6413907afb729899b1210,Bachelor/Master student,United Kingdom,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
017c7b967fb3312f8d3a996f90d1e871,Other,United Kingdom,2001-2005,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
017f3f773117eeb8441a660a1563f249,Bachelor/Master student,Indonesia,2006-2010,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01896cffddb9ceaa34c6b6f4653e29a1,Other,Canada,2011-2016,0.3333333333333333,Zotero,autre,Sciences sociales et économie,SHS
01896cffddb9ceaa34c6b6f4653e29a1,Other,Canada,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
018aa577dd43c6c14d0f94e1f5327001,Bachelor/Master student,Peru,I haven't published (yet),0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01965f6088309c6f5913efe8de1ac180,PhD student,United States,I haven't published (yet),0.3333333333333333,MS Excel,autre,Sciences sociales et économie,SHS
01965f6088309c6f5913efe8de1ac180,PhD student,United States,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
019a9f0333384fb9802df097023ec64d,Bachelor/Master student,Kenya,I haven't published (yet),0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01a2766b69a83b81f8a5ed7b7a68f8e0,PhD student,United Kingdom,I haven't published (yet),0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01a757f76688b3e5d7e9442affddd632,PhD student,Netherlands,2006-2010,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01a96ba8a2755d40e6ac76c88779da35,Bachelor/Master student,China,2011-2016,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01aba269e62196b7233ce416006da8a5,Professor / Associate professor / Assistant professor,Spain,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01aba269e62196b7233ce416006da8a5,Professor / Associate professor / Assistant professor,Spain,2006-2010,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
01c3e5da143944d2ab1bbe3469307322,PhD student,United States,2011-2016,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01e5d0c57a079c89981550412d2a1a89,Professor / Associate professor / Assistant professor,Nigeria,2001-2005,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01e98b44fef691fa1615e65dd713b0af,Professor / Associate professor / Assistant professor,Netherlands,2006-2010,0.5,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,0.1111111111111111,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,0.1111111111111111,LaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS
01fd660e884922304f3f2f968d793b3d,Postdoc,United States,2011-2016,0.25,MS Word,Word et apparentés,Sciences sociales et économie,SHS
01fd660e884922304f3f2f968d793b3d,Postdoc,United States,2011-2016,0.25,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
020db7b746c8493a94266c753f042c8a,PhD student,United States,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0214b8af4de387457c339990b6621a1e,PhD student,Ukraine,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Sciences sociales et économie,SHS
0214b8af4de387457c339990b6621a1e,PhD student,Ukraine,2006-2010,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS
