id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
00066d117085a44ef05279abcf759324,Professor / Associate professor / Assistant professor,Spain,2006-2010,0.3333333333333333,LaTeX,tex,Sciences sociales et économie,SHS
001a6b1243a88bdf507280c42d7a0b08,Professor / Associate professor / Assistant professor,Netherlands,before 1991,0.3333333333333333,LaTeX,tex,Sciences physiques,STEM
0026f7e9767ad48751d1537a2264b4b9,Postdoc,United Kingdom,2006-2010,0.3333333333333333,LaTeX,tex,Sciences de la vie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,ShareLaTeX,tex,Ingénierie & technologie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,ShareLaTeX,tex,Médecine,Médecine
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,LaTeX,tex,Ingénierie & technologie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,LaTeX,tex,Médecine,Médecine
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,Overleaf (=WriteLaTeX),tex,Ingénierie & technologie,STEM
003bac20df338e1cbc3b7995b74c7421,PhD student,Netherlands,2006-2010,0.14285714285714285,Overleaf (=WriteLaTeX),tex,Médecine,Médecine
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,LaTeX,tex,Sciences physiques,STEM
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,LaTeX,tex,Ingénierie & technologie,STEM
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,LaTeX,tex,Sciences de la vie,STEM
005e9ea95d386dbb1622e9d4435aa3eb,Industry / Government,Finland,1991-2000,0.25,Overleaf (=WriteLaTeX),tex,Ingénierie & technologie,STEM
005f44e18273423202049eca2483cdb8,Professor / Associate professor / Assistant professor,South Africa,1991-2000,0.5,LaTeX,tex,Ingénierie & technologie,STEM
00655e3eafc9cfde85f20d9470411006,PhD student,Germany,2011-2016,0.25,LaTeX,tex,Ingénierie & technologie,STEM
00687a9aa29e9c14073efb98cc9faf3f,Professor / Associate professor / Assistant professor,France,2006-2010,0.16666666666666666,ShareLaTeX,tex,Ingénierie & technologie,STEM
00687a9aa29e9c14073efb98cc9faf3f,Professor / Associate professor / Assistant professor,France,2006-2010,0.16666666666666666,GitHub,balisage léger,Ingénierie & technologie,STEM
00687a9aa29e9c14073efb98cc9faf3f,Professor / Associate professor / Assistant professor,France,2006-2010,0.16666666666666666,LaTeX,tex,Ingénierie & technologie,STEM
006a0900219a3a3de407879580eb1d04,Postdoc,Germany,2006-2010,0.25,LaTeX,tex,Ingénierie & technologie,STEM
006a0900219a3a3de407879580eb1d04,Postdoc,Germany,2006-2010,0.25,LaTeX,tex,Sciences de la vie,STEM
006c149e61560c62d8dabade703dc524,Industry / Government,France,1991-2000,0.2,Adobe Photoshop,logiciel d'infographie,Sciences de la vie,STEM
007b5ca3083ac52638a7f03781b4a9e4,Professor / Associate professor / Assistant professor,Spain,1991-2000,0.3333333333333333,LaTeX,tex,Ingénierie & technologie,STEM
007b5ca3083ac52638a7f03781b4a9e4,Professor / Associate professor / Assistant professor,Spain,1991-2000,0.3333333333333333,LaTeX,tex,Arts et Lettres,Arts et Lettres
00817fbad476cbdb2a9e48938d4726ef,Professor / Associate professor / Assistant professor,China,2006-2010,0.5,LaTeX,tex,Ingénierie & technologie,STEM
009fc548dfbe7b48ef0b206d5c6410ae,Professor / Associate professor / Assistant professor,Switzerland,2011-2016,0.3333333333333333,LaTeX,tex,Sciences sociales et économie,SHS
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,QuarkXPress,logiciel d'infographie,Droit,Droit
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,QuarkXPress,logiciel d'infographie,Arts et Lettres,Arts et Lettres
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,Adobe InDesign,logiciel d'infographie,Droit,Droit
