discipline_cat,tool_cat,weight,weight_no_wysiwyg
SHS,wysiwyg bureautique,0.9004965972873052,9.049907568361162
SHS,tex,0.061948949454587766,0.6225812159756847
SHS,autre,0.03212008285780656,0.3228038638090578
SHS,balisage léger,0.0016100595349786942,0.01618094950609443
SHS,logiciel d'infographie,0.001360687359492486,0.013674782192336902
SHS,texte brut,0.002232801214726328,0.02243944582652412
SHS,éditeur de site web,0.00023082229110294616,0.002319742690301962
SHS,tei/xml,0,0
STEM,wysiwyg bureautique,0.7590650720649993,3.150498263455512
STEM,tex,0.19811149978672543,0.8222614358353707
STEM,autre,0.030483168059364338,0.12652033609501417
STEM,balisage léger,0.0016085663516467218,0.006676351849162685
STEM,logiciel d'infographie,0.00531975372971509,0.02207962861719346
STEM,texte brut,0.00487581690892793,0.020237069613432388
STEM,éditeur de site web,0.0004395657652505153,0.0018244169453467565
STEM,tei/xml,0.00009655733337092909,0.000400761044479936
Médecine,wysiwyg bureautique,0.9192098960967509,11.377753607020454
Médecine,tex,0.03833592499366551,0.4745126338688088
Médecine,autre,0.03529242024974036,0.4368408820467054
Médecine,balisage léger,0.000743137069640319,0.009198367544251067
Médecine,logiciel d'infographie,0.004365765989595479,0.054038375725122656
Médecine,texte brut,0.0020008070898934445,0.024765497173880678
Médecine,éditeur de site web,0.00005204851071410795,0.0006442436412315923
Médecine,tei/xml,0,0
Arts et Lettres,wysiwyg bureautique,0.8945358494458523,8.481894982756039
Arts et Lettres,tex,0.03943242030314337,0.37389406823030247
Arts et Lettres,autre,0.051684351300983304,0.49006559128779414
Arts et Lettres,balisage léger,0.002036980100020125,0.019314431390354714
Arts et Lettres,logiciel d'infographie,0.005434944197238554,0.051533570115355296
Arts et Lettres,texte brut,0.006027214844735345,0.05714941819628879
Arts et Lettres,éditeur de site web,0.000495524060061948,0.004698507098936287
Arts et Lettres,tei/xml,0.0003527157479650056,0.00334441368096843
Droit,wysiwyg bureautique,0.9085972025263054,9.940584179469957
Droit,tex,0.04397912437548724,0.4811573123693972
Droit,autre,0.03810122890741888,0.4168497022028703
Droit,balisage léger,0.0028765995342311798,0.03147167935488029
Droit,logiciel d'infographie,0.0031805154555381594,0.03479669707542047
Droit,texte brut,0.0032653292010191765,0.03572460899743168
Droit,éditeur de site web,0,0
Droit,tei/xml,0,0
