tool,count,fraction
MS Word,7809.3499999998585,0.5745642455076514
LaTeX,733.6833333333337,0.0539799356999255
Google Drive/Docs,3265.271428571467,0.24023871573625075
OpenOffice,119.9523809523809,0.008825363091518802
ShareLaTeX,5.166666666666667,0.0003801317568200835
Overleaf (=WriteLaTeX),90.59761904761902,0.006665619114636402
Mendeley,3.4285714285714284,0.00025225333171470976
Evernote,54.190476190476204,0.003987004048490831
GitHub,1.25,0.00009196736052098795
Bitbucket,1,0.00007357388841679035
MS Excel,36.1,0.002656017371846132
MS Powerpoint,33.58333333333333,0.0024708564193305425
Adobe Photoshop,5.428571428571429,0.0003994011085482905
Scrivener,375.73095238095226,0.027643987165210552
Scalar,54.361904761904775,0.003999616715076566
QuarkXPress,1,0.00007357388841679035
Adobe InDesign,23.59523809523809,0.0017359934147866483
Authorea,54.423809523809545,0.004004171289121416
Pages,119.09523809523806,0.008762299758590124
LibreOffice Writer,22.428571428571423,0.0016501572116337261
Box,3.6285714285714286,0.0002669681093980679
Zotero,25.916666666666668,0.0019067899414684833
WordPerfect,24.4,0.0017952028773696846
TextWrangler,3.5,0.00025750860945876627
Dropbox,113.27857142857141,0.00833434497429913
ownCloud,0,0
balisage et texte brut,0,0
LibreOffice,114.70238095238092,0.008439100177330653
EndNote,20.5952380952381,0.0015152717495362778
Papers (papersapp.com),2.5,0.0001839347210419759
by hand,18.666666666666664,0.001373379250446753
SimpleMind,0,0
institutional server,1,0.00007357388841679035
Adobe Reader,2,0.0001471477768335807
email,1,0.00007357388841679035
Reference Manager,1.6666666666666665,0.00012262314736131725
Papyrus,2,0.0001471477768335807
LyX,19,0.0013979038799190168
TextEdit,5.499999999999999,0.0004046563862923469
xfig,0,0
RevMan (Review Manager),0.5,0.000036786944208395176
institutional shared drive,1,0.00007357388841679035
Manuscripts (manuscripts.app),1.3333333333333333,0.00009809851788905381
Notepad++,4,0.0002942955536671614
RefWorks,3.6666666666666665,0.000269770924194898
Gramarly,4.5,0.0003310824978755566
texmacs,0,0
Sublime Text Editor,3.5,0.00025750860945876627
MS OneDrive,11.733333333333333,0.0008632669574236734
PhotoImpact,1,0.00007357388841679035
Adobe Illustrator,4.666666666666666,0.00034334481261168826
CINDEX,1,0.00007357388841679035
CorelDraw,3,0.00022072166525037107
research monographs,0,0
Emacs,4.166666666666666,0.0003065578684032931
OrgMode (Emacs),1.3333333333333333,0.00009809851788905381
MS Publisher,1,0.00007357388841679035
R,2,0.0001471477768335807
Adobe Acrobat,5.928571428571429,0.0004361880527566857
MS Access,1,0.00007357388841679035
pdf,3.6666666666666665,0.000269770924194898
MathType,2,0.0001471477768335807
Origin,0,0
graphics software,4,0.0002942955536671614
Scientific Word,2,0.0001471477768335807
OpenOffice Writer,12.333333333333332,0.0009074112904737476
Rmarkdown,0,0
RStudio,5.5,0.00040465638629234694
Etherpad,8.983333333333333,0.0006609387642774999
Atom,4.5,0.0003310824978755566
GIMP,0,0
GraphPad,0,0
GraphPad PRISM,0,0
Pandoc,7.5,0.0005518041631259276
ChemBioDraw,0,0
Atlas TI,2,0.0001471477768335807
Citavi,18,0.0013243299915022264
Keynote,2,0.0001471477768335807
Workflowy,1,0.00007357388841679035
wiki,1,0.00007357388841679035
TeX,0,0
Ginger Translate,0,0
Alternote,1,0.00007357388841679035
MS OneNote,15.799999999999997,0.0011624674369852873
table editors,0,0
graph editors,0,0
InkScape,0,0
Git,2,0.0001471477768335807
Manuscript,1,0.00007357388841679035
text editor,10.333333333333332,0.0007602635136401669
Leo,0,0
Write,0,0
Adobe Acrobat Pro,4.166666666666666,0.0003065578684032931
Google Earth,1,0.00007357388841679035
iPhoto,1,0.00007357388841679035
CVS (Concurrent Versions System),0.6666666666666666,0.000049049258944526904
knitr,2,0.0001471477768335807
Numbers,3,0.00022072166525037107
HTML editor,1,0.00007357388841679035
Wordpress,5,0.0003678694420839518
Omeka,1,0.00007357388841679035
SVN (Subversion),0,0
GitLab,0,0
neooffice,1,0.00007357388841679035
OnlyOffice,0,0
Nisus Writer,6.5,0.0004782302747091373
institutional cloud server,0,0
WPS,1,0.00007357388841679035
computer,0,0
scan,0,0
MDL ISIS Draw,0,0
gVim,0,0
BBEdit,3,0.00022072166525037107
Adobe,6,0.00044144333050074214
Mindmanager,2,0.0001471477768335807
Power point image conversion format,0,0
SourceTree,0,0
ImageJ,0,0
Typewriter online,1,0.00007357388841679035
Vim,1.3333333333333333,0.00009809851788905381
Docear,2,0.0001471477768335807
Byword,3,0.00022072166525037107
iWork,1,0.00007357388841679035
Nota Bene,3,0.00022072166525037107
Ulysses,16.666666666666668,0.0012262314736131727
EasyBib,1,0.00007357388841679035
Google Scholar,1,0.00007357388841679035
institutional collaboration environment,1,0.00007357388841679035
