tool,famille,count,fractionOfUse,percentageOfUse
MS Word,Word et apparentés,18577,0.9135929969509197,91.35929969509196
Google Drive/Docs,Word et apparentés,6640,0.32654667060096393,32.65466706009639
LaTeX,format/éditeur apparenté à TeX,3754,0.1846168978066293,18.46168978066293
Scrivener,autres bureautique (wysiwyg),555,0.02729418707583358,2.729418707583358
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,395,0.019425592603521197,1.9425592603521196
LibreOffice,autres bureautique (wysiwyg),267,0.01313071702567129,1.313071702567129
Dropbox,autres bureautique (wysiwyg),243,0.011950427854824431,1.195042785482443
Pages,autres bureautique (wysiwyg),242,0.01190124913937248,1.190124913937248
OpenOffice,Word et apparentés,215,0.010573423822169765,1.0573423822169765
Authorea,autres bureautique (wysiwyg),187,0.009196419789515098,0.9196419789515098
MS Powerpoint,autre,93,0.0045736205370315725,0.45736205370315725
Scalar,autre,85,0.004180190813415954,0.4180190813415954
EndNote,autre,85,0.004180190813415954,0.4180190813415954
Evernote,autre,83,0.004081833382512049,0.4081833382512049
MS Excel,autre,68,0.003344152650732763,0.3344152650732763
ShareLaTeX,format/éditeur apparenté à TeX,58,0.002852365496213239,0.2852365496213239
LyX,format/éditeur apparenté à TeX,54,0.0026556506344054295,0.2655650634405429
LibreOffice Writer,autres bureautique (wysiwyg),53,0.002606471918953477,0.2606471918953477
Adobe InDesign,autre,41,0.0020163273335300482,0.20163273335300483
WordPerfect,autres bureautique (wysiwyg),39,0.0019179699026261434,0.19179699026261435
Adobe Photoshop,autre,37,0.0018196124717222387,0.18196124717222387
Adobe Illustrator,autre,36,0.0017704337562702863,0.17704337562702863
Zotero,autre,36,0.0017704337562702863,0.17704337562702863
MS OneNote,autres bureautique (wysiwyg),31,0.0015245401790105243,0.15245401790105242
Pandoc,autre,27,0.0013278253172027148,0.13278253172027146
by hand,autre,25,0.0012294678862988099,0.12294678862988098
Emacs,balisage et texte brut,24,0.0011802891708468574,0.11802891708468574
Citavi,autre,22,0.0010819317399429528,0.10819317399429527
OpenOffice Writer,autres bureautique (wysiwyg),22,0.0010819317399429528,0.10819317399429527
MS OneDrive,autres bureautique (wysiwyg),22,0.0010819317399429528,0.10819317399429527
text editor,balisage et texte brut,22,0.0010819317399429528,0.10819317399429527
Ulysses,balisage et texte brut,21,0.0010327530244910003,0.10327530244910003
GitHub,balisage et texte brut,17,0.0008360381626831907,0.08360381626831907
OrgMode (Emacs),balisage et texte brut,17,0.0008360381626831907,0.08360381626831907
Box,autres bureautique (wysiwyg),16,0.0007868594472312384,0.07868594472312383
RStudio,autre,16,0.0007868594472312384,0.07868594472312383
Etherpad,balisage et texte brut,15,0.0007376807317792859,0.07376807317792859
GraphPad PRISM,autre,15,0.0007376807317792859,0.07376807317792859
Adobe Acrobat,autre,13,0.0006393233008753812,0.06393233008753811
Papers (papersapp.com),autres bureautique (wysiwyg),12,0.0005901445854234287,0.05901445854234287
CorelDraw,autre,12,0.0005901445854234287,0.05901445854234287
Git,autre,12,0.0005901445854234287,0.05901445854234287
Sublime Text Editor,balisage et texte brut,12,0.0005901445854234287,0.05901445854234287
graphics software,autre,12,0.0005901445854234287,0.05901445854234287
Atom,balisage et texte brut,12,0.0005901445854234287,0.05901445854234287
Scientific Workplace,format/éditeur apparenté à TeX,11,0.0005409658699714764,0.05409658699714764
Mellel,,11,0.0005409658699714764,0.05409658699714764
RefWorks,autre,11,0.0005409658699714764,0.05409658699714764
Mendeley,autre,11,0.0005409658699714764,0.05409658699714764
knitr,,11,0.0005409658699714764,0.05409658699714764
Notepad,balisage et texte brut,11,0.0005409658699714764,0.05409658699714764
Vim,balisage et texte brut,10,0.000491787154519524,0.0491787154519524
wiki,balisage et texte brut,10,0.000491787154519524,0.0491787154519524
Reference Manager,autre,10,0.000491787154519524,0.0491787154519524
TextEdit,balisage et texte brut,10,0.000491787154519524,0.0491787154519524
Adobe,,10,0.000491787154519524,0.0491787154519524
