toolName,famille,discipline,discipline_categorie,total_respondants_discipline,count,fractionOfUse,percentageOfUse
MS Word,Word et apparentés,Sciences sociales et économie,SHS,6353,5170.266666666658,NaN,NaN
MS Word,Word et apparentés,Sciences de la vie,STEM,5162,3962.0833333333567,NaN,NaN
MS Word,Word et apparentés,Ingénierie & technologie,STEM,3784,2381.7,NaN,NaN
MS Word,Word et apparentés,Médecine,Médecine,3803,2987.0666666666743,NaN,NaN
MS Word,Word et apparentés,Arts et Lettres,SHS,3154,2369.433333333334,NaN,NaN
MS Word,Word et apparentés,Sciences physiques,STEM,2598,1436.7999999999981,NaN,NaN
MS Word,Word et apparentés,Droit,SHS,505,269.65000000000026,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS,6353,556.8666666666668,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM,5162,536.2999999999997,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Ingénierie & technologie,STEM,3784,1317.3833333333332,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Médecine,Médecine,3803,164.91666666666663,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Arts et Lettres,SHS,3154,159.59999999999997,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Sciences physiques,STEM,2598,1001.7166666666677,NaN,NaN
LaTeX,format/éditeur apparenté à TeX,Droit,SHS,505,17.21666666666666,NaN,NaN
Google Drive/Docs,Word et apparentés,Sciences sociales et économie,SHS,6353,2084.40714285714,NaN,NaN
Google Drive/Docs,Word et apparentés,Sciences de la vie,STEM,5162,1221.9904761904752,NaN,NaN
Google Drive/Docs,Word et apparentés,Ingénierie & technologie,STEM,3784,911.073809523811,NaN,NaN
Google Drive/Docs,Word et apparentés,Médecine,Médecine,3803,793.1238095238103,NaN,NaN
Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS,3154,1070.0404761904765,NaN,NaN
Google Drive/Docs,Word et apparentés,Sciences physiques,STEM,2598,448.5404761904759,NaN,NaN
Google Drive/Docs,Word et apparentés,Droit,SHS,505,110.82380952380944,NaN,NaN
OpenOffice,Word et apparentés,Sciences sociales et économie,SHS,6353,61.34523809523811,NaN,NaN
OpenOffice,Word et apparentés,Sciences de la vie,STEM,5162,31.84523809523809,NaN,NaN
OpenOffice,Word et apparentés,Ingénierie & technologie,STEM,3784,35.095238095238095,NaN,NaN
OpenOffice,Word et apparentés,Médecine,Médecine,3803,13.761904761904761,NaN,NaN
OpenOffice,Word et apparentés,Arts et Lettres,SHS,3154,53.011904761904766,NaN,NaN
OpenOffice,Word et apparentés,Sciences physiques,STEM,2598,14.345238095238095,NaN,NaN
OpenOffice,Word et apparentés,Droit,SHS,505,5.595238095238095,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS,6353,3.3333333333333335,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Sciences de la vie,STEM,5162,4,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Ingénierie & technologie,STEM,3784,37.83333333333333,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Médecine,Médecine,3803,0.5,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Arts et Lettres,SHS,3154,1.8333333333333333,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Sciences physiques,STEM,2598,10.5,NaN,NaN
ShareLaTeX,format/éditeur apparenté à TeX,Droit,SHS,505,0,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Sciences sociales et économie,SHS,6353,58.63809523809525,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Sciences de la vie,STEM,5162,79.13809523809523,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Ingénierie & technologie,STEM,3784,132.3047619047619,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Médecine,Médecine,3803,24.27142857142857,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Arts et Lettres,SHS,3154,28.888095238095236,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Sciences physiques,STEM,2598,68.68809523809524,NaN,NaN
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,Droit,SHS,505,3.0714285714285716,NaN,NaN
Mendeley,autre,Sciences sociales et économie,SHS,6353,3.142857142857143,NaN,NaN
Mendeley,autre,Sciences de la vie,STEM,5162,5.142857142857142,NaN,NaN
Mendeley,autre,Ingénierie & technologie,STEM,3784,2.142857142857143,NaN,NaN
Mendeley,autre,Médecine,Médecine,3803,0.14285714285714285,NaN,NaN
Mendeley,autre,Arts et Lettres,SHS,3154,0.14285714285714285,NaN,NaN
Mendeley,autre,Sciences physiques,STEM,2598,0.14285714285714285,NaN,NaN
Mendeley,autre,Droit,SHS,505,0.14285714285714285,NaN,NaN
Evernote,autre,Sciences sociales et économie,SHS,6353,21.45238095238095,NaN,NaN
Evernote,autre,Sciences de la vie,STEM,5162,11.952380952380953,NaN,NaN
Evernote,autre,Ingénierie & technologie,STEM,3784,8.452380952380953,NaN,NaN
Evernote,autre,Médecine,Médecine,3803,6.952380952380953,NaN,NaN
Evernote,autre,Arts et Lettres,SHS,3154,30.452380952380953,NaN,NaN
Evernote,autre,Sciences physiques,STEM,2598,1.4523809523809523,NaN,NaN
Evernote,autre,Droit,SHS,505,2.2857142857142856,NaN,NaN
GitHub,balisage et texte brut,Sciences sociales et économie,SHS,6353,0.75,NaN,NaN
GitHub,balisage et texte brut,Sciences de la vie,STEM,5162,5.916666666666667,NaN,NaN
GitHub,balisage et texte brut,Ingénierie & technologie,STEM,3784,4.5,NaN,NaN
GitHub,balisage et texte brut,Médecine,Médecine,3803,0.9166666666666666,NaN,NaN
GitHub,balisage et texte brut,Arts et Lettres,SHS,3154,0.5,NaN,NaN
GitHub,balisage et texte brut,Sciences physiques,STEM,2598,4.416666666666666,NaN,NaN
GitHub,balisage et texte brut,Droit,SHS,505,0,NaN,NaN
Bitbucket,autre,Sciences sociales et économie,SHS,6353,1,NaN,NaN
Bitbucket,autre,Sciences de la vie,STEM,5162,0,NaN,NaN
Bitbucket,autre,Ingénierie & technologie,STEM,3784,2,NaN,NaN
Bitbucket,autre,Médecine,Médecine,3803,0,NaN,NaN
Bitbucket,autre,Arts et Lettres,SHS,3154,0,NaN,NaN
Bitbucket,autre,Sciences physiques,STEM,2598,0,NaN,NaN
Bitbucket,autre,Droit,SHS,505,0,NaN,NaN
MS Excel,autre,Sciences sociales et économie,SHS,6353,24.45,NaN,NaN
MS Excel,autre,Sciences de la vie,STEM,5162,16.866666666666667,NaN,NaN
MS Excel,autre,Ingénierie & technologie,STEM,3784,3.583333333333333,NaN,NaN
MS Excel,autre,Médecine,Médecine,3803,8.366666666666667,NaN,NaN
MS Excel,autre,Arts et Lettres,SHS,3154,10.45,NaN,NaN
MS Excel,autre,Sciences physiques,STEM,2598,3.083333333333333,NaN,NaN
MS Excel,autre,Droit,SHS,505,1.2,NaN,NaN
MS Powerpoint,autre,Sciences sociales et économie,SHS,6353,21.833333333333332,NaN,NaN
MS Powerpoint,autre,Sciences de la vie,STEM,5162,35.58333333333333,NaN,NaN
MS Powerpoint,autre,Ingénierie & technologie,STEM,3784,6.833333333333333,NaN,NaN
MS Powerpoint,autre,Médecine,Médecine,3803,8.666666666666668,NaN,NaN
MS Powerpoint,autre,Arts et Lettres,SHS,3154,11.75,NaN,NaN
MS Powerpoint,autre,Sciences physiques,STEM,2598,8.333333333333334,NaN,NaN
MS Powerpoint,autre,Droit,SHS,505,0,NaN,NaN
Adobe Photoshop,autre,Sciences sociales et économie,SHS,6353,1.6428571428571428,NaN,NaN
Adobe Photoshop,autre,Sciences de la vie,STEM,5162,20.226190476190478,NaN,NaN
Adobe Photoshop,autre,Ingénierie & technologie,STEM,3784,2.892857142857143,NaN,NaN
Adobe Photoshop,autre,Médecine,Médecine,3803,6.726190476190476,NaN,NaN
Adobe Photoshop,autre,Arts et Lettres,SHS,3154,3.142857142857143,NaN,NaN
Adobe Photoshop,autre,Sciences physiques,STEM,2598,1.726190476190476,NaN,NaN
Adobe Photoshop,autre,Droit,SHS,505,0.6428571428571428,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,206.37142857142857,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,61.171428571428585,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,46.12142857142858,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Médecine,Médecine,3803,52.52142857142857,NaN,NaN
Scrivener,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,159.33809523809524,NaN,NaN
