id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
0008799ec4ee889c276266db7363e69c,Professor / Associate professor / Assistant professor,Hungary,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Arts et Lettres,SHS
0008799ec4ee889c276266db7363e69c,Professor / Associate professor / Assistant professor,Hungary,1991-2000,0.3333333333333333,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
007b5ca3083ac52638a7f03781b4a9e4,Professor / Associate professor / Assistant professor,Spain,1991-2000,0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Arts et Lettres,SHS
0090eec9be9b06bf6c568a57bf8df592,Professor / Associate professor / Assistant professor,Philippines,2011-2016,0.2,MS Word,Word et apparentés,Arts et Lettres,SHS
0090eec9be9b06bf6c568a57bf8df592,Professor / Associate professor / Assistant professor,Philippines,2011-2016,0.2,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
0090eec9be9b06bf6c568a57bf8df592,Professor / Associate professor / Assistant professor,Philippines,2011-2016,0.2,Scalar,autre,Arts et Lettres,SHS
0097e5b06d296abfc66db515e4325bdd,Other,,I haven't published (yet),0.5,MS Word,Word et apparentés,Arts et Lettres,SHS
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,QuarkXPress,autre,Arts et Lettres,SHS
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,Adobe InDesign,autre,Arts et Lettres,SHS
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,Adobe Photoshop,autre,Arts et Lettres,SHS
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,MS Word,Word et apparentés,Arts et Lettres,SHS
00c0f536565ec8f3c0cfde004fbec74e,Librarian,Norway,2006-2010,0.25,MS Word,Word et apparentés,Arts et Lettres,SHS
00c0f536565ec8f3c0cfde004fbec74e,Librarian,Norway,2006-2010,0.25,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
00c0f536565ec8f3c0cfde004fbec74e,Librarian,Norway,2006-2010,0.25,LaTeX,format/éditeur apparenté à TeX,Arts et Lettres,SHS
00d4ab9ef7cb114a5d3f94ea00126e29,Professor / Associate professor / Assistant professor,Croatia,before 1991,0.25,MS Word,Word et apparentés,Arts et Lettres,SHS
00d4ab9ef7cb114a5d3f94ea00126e29,Professor / Associate professor / Assistant professor,Croatia,before 1991,0.25,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
00e2551327c2729de3105e6b41a88b2b,PhD student,Netherlands,I haven't published (yet),0.25,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
00e2551327c2729de3105e6b41a88b2b,PhD student,Netherlands,I haven't published (yet),0.25,Authorea,autres bureautique (wysiwyg),Arts et Lettres,SHS
00e2551327c2729de3105e6b41a88b2b,PhD student,Netherlands,I haven't published (yet),0.25,LaTeX,format/éditeur apparenté à TeX,Arts et Lettres,SHS
00e873f446efe562a6c10ff1e276f345,PhD student,United States,2011-2016,0.25,MS Word,Word et apparentés,Arts et Lettres,SHS
00e873f446efe562a6c10ff1e276f345,PhD student,United States,2011-2016,0.25,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
00e873f446efe562a6c10ff1e276f345,PhD student,United States,2011-2016,0.25,LaTeX,format/éditeur apparenté à TeX,Arts et Lettres,SHS
010f3f492308e57654285cf644789d93,Other,France,2011-2016,0.5,MS Word,Word et apparentés,Arts et Lettres,SHS
014c64dd4a15f64650e217b890f4ae76,Librarian,United States,2001-2005,0.5,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
01597d6d3c5b690195a54fc564fefbfa,Publisher,Germany,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Arts et Lettres,SHS
01618492764a693eb1640cc34cbab7b4,Other,United States,before 1991,0.5,MS Word,Word et apparentés,Arts et Lettres,SHS
0171bc819687a432bda13c0c84961db7,PhD student,India,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Arts et Lettres,SHS
0171bc819687a432bda13c0c84961db7,PhD student,India,2011-2016,0.3333333333333333,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,0.1111111111111111,MS Word,Word et apparentés,Arts et Lettres,SHS
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,0.1111111111111111,LaTeX,format/éditeur apparenté à TeX,Arts et Lettres,SHS
02248be1e6ac3323d045f93db1ea1c4c,Bachelor/Master student,Netherlands,I haven't published (yet),0.5,MS Word,Word et apparentés,Arts et Lettres,SHS
022b87807a56d2a9736144097227e9b4,Other,United Kingdom,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Arts et Lettres,SHS
022b87807a56d2a9736144097227e9b4,Other,United Kingdom,2001-2005,0.3333333333333333,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
022e8fa022407aee39be2bd189ec4f60,Librarian,Spain,I haven't published (yet),0.2,MS Word,Word et apparentés,Arts et Lettres,SHS
022e8fa022407aee39be2bd189ec4f60,Librarian,Spain,I haven't published (yet),0.2,Google Drive/Docs,Word et apparentés,Arts et Lettres,SHS
