id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,QuarkXPress,autre,Droit,SHS
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,Adobe InDesign,autre,Droit,SHS
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,Adobe Photoshop,autre,Droit,SHS
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,0.16666666666666666,MS Word,Word et apparentés,Droit,SHS
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,0.1111111111111111,MS Word,Word et apparentés,Droit,SHS
01fac14aba80ff8ea90d833c235eafdf,Librarian,United Kingdom,2011-2016,0.1111111111111111,LaTeX,format/éditeur apparenté à TeX,Droit,SHS
022e8fa022407aee39be2bd189ec4f60,Librarian,Spain,I haven't published (yet),0.2,MS Word,Word et apparentés,Droit,SHS
022e8fa022407aee39be2bd189ec4f60,Librarian,Spain,I haven't published (yet),0.2,Google Drive/Docs,Word et apparentés,Droit,SHS
02d0f8a407bdfbceeb5695c42383cc06,Industry / Government,Germany,2001-2005,0.3333333333333333,Pages,autres bureautique (wysiwyg),Droit,SHS
02d0f8a407bdfbceeb5695c42383cc06,Industry / Government,Germany,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Droit,SHS
03bab5f40a751e1caa07670264b4d053,PhD student,United States,2011-2016,0.2,MS Word,Word et apparentés,Droit,SHS
03bab5f40a751e1caa07670264b4d053,PhD student,United States,2011-2016,0.2,Google Drive/Docs,Word et apparentés,Droit,SHS
047cc118d695dc6ed369b18c584df020,Librarian,United Kingdom,I haven't published (yet),0.1,MS Word,Word et apparentés,Droit,SHS
047cc118d695dc6ed369b18c584df020,Librarian,United Kingdom,I haven't published (yet),0.1,Google Drive/Docs,Word et apparentés,Droit,SHS
047cc118d695dc6ed369b18c584df020,Librarian,United Kingdom,I haven't published (yet),0.1,Scrivener,autres bureautique (wysiwyg),Droit,SHS
04d3c244fd4bb23248286fbb5160c98f,Librarian,United Kingdom,2006-2010,0.16666666666666666,MS Word,Word et apparentés,Droit,SHS
04d3c244fd4bb23248286fbb5160c98f,Librarian,United Kingdom,2006-2010,0.16666666666666666,Google Drive/Docs,Word et apparentés,Droit,SHS
04d3c244fd4bb23248286fbb5160c98f,Librarian,United Kingdom,2006-2010,0.16666666666666666,LaTeX,format/éditeur apparenté à TeX,Droit,SHS
0551c6976a6968e2f113a3911f381982,Bachelor/Master student,Germany,I haven't published (yet),0.5,MS Word,Word et apparentés,Droit,SHS
05b2530644e4871e3ea9c3ba4696c3b3,Professor / Associate professor / Assistant professor,Netherlands,I haven't published (yet),0.25,MS Word,Word et apparentés,Droit,SHS
05b2530644e4871e3ea9c3ba4696c3b3,Professor / Associate professor / Assistant professor,Netherlands,I haven't published (yet),0.25,Google Drive/Docs,Word et apparentés,Droit,SHS
05be9c9979ccef78cc6ebbbce4d1bae8,Librarian,Jamaica,before 1991,0.125,MS Word,Word et apparentés,Droit,SHS
06c428ad71790fc0a04c25b43c84bc8a,Librarian,United States,1991-2000,0.1111111111111111,MS Word,Word et apparentés,Droit,SHS
06c428ad71790fc0a04c25b43c84bc8a,Librarian,United States,1991-2000,0.1111111111111111,LaTeX,format/éditeur apparenté à TeX,Droit,SHS
06d50d9ad9cb75748d824d1f543d4b28,Professor / Associate professor / Assistant professor,Brazil,1991-2000,0.5,MS Word,Word et apparentés,Droit,SHS
090911b94d64c6d06af796b68570acb4,Professor / Associate professor / Assistant professor,Netherlands,2001-2005,0.5,MS Word,Word et apparentés,Droit,SHS
09791439497fa0b9bed50c40418bcebc,PhD student,Netherlands,2011-2016,0.3333333333333333,MS Word,Word et apparentés,Droit,SHS
097c7c4b82f252392b4f8bd066ee6c61,Other,United States,2006-2010,0.25,MS Word,Word et apparentés,Droit,SHS
097c7c4b82f252392b4f8bd066ee6c61,Other,United States,2006-2010,0.25,Google Drive/Docs,Word et apparentés,Droit,SHS
09baf023119066a93b8a159eca1434e7,Other,United Kingdom,before 1991,0.125,MS Word,Word et apparentés,Droit,SHS
09f02808d505f8f43764543e9027de4f,Bachelor/Master student,Germany,I haven't published (yet),0.3333333333333333,MS Word,Word et apparentés,Droit,SHS
09f90c9d77b9b911ce7cd52900362903,Bachelor/Master student,France,I haven't published (yet),0.5,MS Word,Word et apparentés,Droit,SHS
0a00e6880bb90fdd8bfcce78e75ea0ff,Librarian,Australia,I haven't published (yet),0.08333333333333333,MS Word,Word et apparentés,Droit,SHS
0a00e6880bb90fdd8bfcce78e75ea0ff,Librarian,Australia,I haven't published (yet),0.08333333333333333,Google Drive/Docs,Word et apparentés,Droit,SHS
0a00e6880bb90fdd8bfcce78e75ea0ff,Librarian,Australia,I haven't published (yet),0.08333333333333333,Authorea,autres bureautique (wysiwyg),Droit,SHS
0a00e6880bb90fdd8bfcce78e75ea0ff,Librarian,Australia,I haven't published (yet),0.08333333333333333,LaTeX,format/éditeur apparenté à TeX,Droit,SHS
0a00e6880bb90fdd8bfcce78e75ea0ff,Librarian,Australia,I haven't published (yet),0.08333333333333333,Scrivener,autres bureautique (wysiwyg),Droit,SHS
0a0a1909858ef67cc1d47a4f5ac3f182,Other,Sweden,2011-2016,0.125,MS Word,Word et apparentés,Droit,SHS
0b1b744a9950df6e44fd15836917531b,Professor / Associate professor / Assistant professor,Italy,1991-2000,0.5,MS Word,Word et apparentés,Droit,SHS
0bb955c520aebcb45c10c1efeb601722,Librarian,United States,I haven't published (yet),0.5,MS Word,Word et apparentés,Droit,SHS
0ce1d712c51d652bd1092d12f9a8a7ae,Librarian,Japan,2006-2010,0.3333333333333333,MS Word,Word et apparentés,Droit,SHS
0de0dc6e1820a5dc3321c2b83a9e796e,PhD student,Netherlands,2006-2010,0.5,MS Word,Word et apparentés,Droit,SHS
0e49149d3abcdb661b7cb576de7be263,Librarian,United Kingdom,I haven't published (yet),0.1111111111111111,MS Word,Word et apparentés,Droit,SHS
0e49149d3abcdb661b7cb576de7be263,Librarian,United Kingdom,I haven't published (yet),0.1111111111111111,Google Drive/Docs,Word et apparentés,Droit,SHS
0ee8cb3bd6916865b2dd47833fe0a523,Other,United Kingdom,2006-2010,0.5,MS Word,Word et apparentés,Droit,SHS
