id,role,last affiliation country,first publication year,weight,tool,famille d'outil,discipline,discipline_cat
001166b3b364fd5288a83f2b5a6b4674,PhD student,Norway,1991-2000,0.3333333333333333,MS Word,Word et apparentés,Sciences physiques,STEM
001a6b1243a88bdf507280c42d7a0b08,Professor / Associate professor / Assistant professor,Netherlands,before 1991,0.3333333333333333,MS Word,Word et apparentés,Sciences physiques,STEM
001a6b1243a88bdf507280c42d7a0b08,Professor / Associate professor / Assistant professor,Netherlands,before 1991,0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Sciences physiques,STEM
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,MS Word,Word et apparentés,Sciences physiques,STEM
00412a972f719c233aa1c6c001100cb4,Other,Germany,2001-2005,0.2,LaTeX,format/éditeur apparenté à TeX,Sciences physiques,STEM
005edecc6138223133cc3b4bbecb8a6d,Bachelor/Master student,Germany,I haven't published (yet),0.2,OpenOffice,Word et apparentés,Sciences physiques,STEM
005edecc6138223133cc3b4bbecb8a6d,Bachelor/Master student,Germany,I haven't published (yet),0.2,MS Word,Word et apparentés,Sciences physiques,STEM
006f61809b1f90eeadb6ed9502a702eb,Professor / Associate professor / Assistant professor,China,2011-2016,0.5,MS Word,Word et apparentés,Sciences physiques,STEM
008032994f81b9c5b814361314e6d24a,Other,United States,2006-2010,0.3333333333333333,Google Drive/Docs,Word et apparentés,Sciences physiques,STEM
0085ceac43acb875b1d27bdee7d39254,Postdoc,Netherlands,2006-2010,0.5,MS Word,Word et apparentés,Sciences physiques,STEM
008d99bbcc7bbb72662771902368f8cf,Professor / Associate professor / Assistant professor,Portugal,1991-2000,0.25,MS Word,Word et apparentés,Sciences physiques,STEM
008d99bbcc7bbb72662771902368f8cf,Professor / Associate professor / Assistant professor,Portugal,1991-2000,0.25,Scrivener,autres bureautique (wysiwyg),Sciences physiques,STEM
00a3ee9d9434dc4b24c2bb1f7ef8e251,Professor / Associate professor / Assistant professor,Spain,before 1991,0.5,MS Word,Word et apparentés,Sciences physiques,STEM
00ac3ce5a1e6cd28a305a4323a0ef4ca,Postdoc,China,2011-2016,0.5,MS Word,Word et apparentés,Sciences physiques,STEM
00eeb7ff49c210d22b124dcec376917e,Professor / Associate professor / Assistant professor,Singapore,2001-2005,0.5,MS Word,Word et apparentés,Sciences physiques,STEM
01324cea159cfc5f17fb727721b4c499,Professor / Associate professor / Assistant professor,United States,2001-2005,0.3333333333333333,MS Word,Word et apparentés,Sciences physiques,STEM
01324cea159cfc5f17fb727721b4c499,Professor / Associate professor / Assistant professor,United States,2001-2005,0.3333333333333333,LaTeX,format/éditeur apparenté à TeX,Sciences physiques,STEM
