tool,cat,compte
undefined,,NaN
MS Word,Word et apparentés,8220.38690476092
Google Drive/Docs,Word et apparentés,2334.9449855699622
LaTeX,format/éditeur apparenté à TeX,1409.391666666673
Scrivener,autres bureautique (wysiwyg),173.64895382395358
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX,115.8672077922081
LibreOffice,autres bureautique (wysiwyg),91.24444444444461
Pages,autres bureautique (wysiwyg),79.18019480519492
Dropbox,autres bureautique (wysiwyg),74.24390331890339
OpenOffice,Word et apparentés,74.23495670995686
Authorea,autres bureautique (wysiwyg),52.38279220779231
EndNote,autre,28.339682539682503
Scalar,autre,25.74606782106781
MS Powerpoint,autre,25.598015873015854
Evernote,autre,24.35079365079365
LibreOffice Writer,autres bureautique (wysiwyg),19.903030303030295
MS Excel,autre,18.68690476190475
LyX,format/éditeur apparenté à TeX,16.446428571428573
ShareLaTeX,format/éditeur apparenté à TeX,15.514285714285709
WordPerfect,autres bureautique (wysiwyg),15.141666666666671
Markdown,,14.876623376623373
Adobe InDesign,autre,13.751443001443008
Adobe Illustrator,autre,10.419047619047616
Zotero,autre,10.169444444444444
Adobe Photoshop,autre,9.86493506493507
MS OneNote,autres bureautique (wysiwyg),9.613888888888884
RMarkdown,,9.278571428571428
by hand,autre,8.454761904761908
OpenOffice Writer,autres bureautique (wysiwyg),8.011904761904766
Pandoc,autre,7.062698412698414
Citavi,autre,6.683333333333333
MS OneDrive,autres bureautique (wysiwyg),6.647222222222222
Ulysses,balisage et texte brut,5.966666666666666
Emacs,balisage et texte brut,5.690909090909093
Box,autres bureautique (wysiwyg),5.3345238095238106
text editor,balisage et texte brut,5.32857142857143
OrgMode (Emacs),balisage et texte brut,4.776190476190476
GitHub,balisage et texte brut,4.473412698412701
Etherpad,balisage et texte brut,4.295634920634922
GraphPad PRISM,autre,4.226190476190478
Papers (papersapp.com),autres bureautique (wysiwyg),4.06904761904762
Adobe Acrobat,autre,3.9696969696969697
Mendeley,autre,3.8333333333333344
Mellel,autre,3.824603174603175
RefWorks,autre,3.628571428571429
pdf,autre,3.571428571428571
RStudio,autre,3.557142857142857
Reference Manager,autre,3.4666666666666677
graphics software,autre,3.366666666666667
Scientific Workplace,format/éditeur apparenté à TeX,3.233333333333334
Sublime Text Editor,balisage et texte brut,3.219047619047619
CorelDraw,autre,3.1357142857142857
TextEdit,balisage et texte brut,3.016666666666667
iA Writer,balisage et texte brut,2.9845238095238096
Manuscripts (manuscripts.app),autres bureautique (wysiwyg),2.95
ChemDraw,autre,2.9166666666666665
knitr,autre,2.8666666666666663
Notepad,balisage et texte brut,2.8583333333333334
Vim,balisage et texte brut,2.770634920634921
Git,autre,2.7583333333333333
Notepad++,balisage et texte brut,2.7266233766233765
Adobe,autre,2.6166666666666663
InkScape,autre,2.574242424242424
GIMP,autre,2.5428571428571427
wiki,balisage et texte brut,2.4928571428571424
Atom,balisage et texte brut,2.4119047619047618
Gramarly,balisage et texte brut,2.333333333333333
RevMan (Review Manager),autre,2.1666666666666665
WPS,autre,2.1166666666666667
Mathematica,autre,1.916666666666667
Nisus Writer,autre,1.861904761904762
Adobe Acrobat Pro,autre,1.8519841269841266
MathType,autre,1.8333333333333333
Adobe Creative Suite,autre,1.7666666666666664
R,autre,1.75
Wordpress,autre,1.717099567099567
Origin,autre,1.7
MS Sharepoint,autres bureautique (wysiwyg),1.6999999999999997
Scribus,autre,1.6666666666666667
Byword,autre,1.4000000000000001
Manuscript,autre,1.4
Docear,autre,1.4
Texmaker,format/éditeur apparenté à TeX,1.3583333333333334
MS Word Online,Word et apparentés,1.3499999999999999
Tinderbox,autre,1.25
Dragon,autre,1.25
iWork,autre,1.2261904761904763
Paper,autre,1.2166666666666668
TextWrangler,balisage et texte brut,1.193290043290043
ownCloud,autres bureautique (wysiwyg),1.1666666666666665
Adobe Reader,autre,1.1666666666666665
Nota Bene,autre,1.1666666666666665
MS Paint,autre,1.165909090909091
HTML editor,autre,1.1409090909090909
MathCAD,autre,1.1166666666666667
Numbers,autre,1.1166666666666665
TeX,format/éditeur apparenté à TeX,1.0833333333333333
mobile note app,autre,1.0833333333333333
Sibelius,autre,1.0333333333333332
OCT,autre,1.027777777777778
SigmaPlot,autre,1.0095238095238095
Scientific Word,autres bureautique (wysiwyg),1
oXygen XML editor,balisage et texte brut,0.9833333333333334
MediaWiki,balisage et texte brut,0.95
JabRef,autre,0.9
NVIVO,autre,0.9
Mou,balisage et texte brut,0.857142857142857
Mindmanager,autre,0.8500000000000001
TeXStudio,format/éditeur apparenté à TeX,0.8500000000000001
Papyrus,autre,0.8333333333333333
MS Office,autres bureautique (wysiwyg),0.8333333333333333
Vi,balisage et texte brut,0.8095238095238095
BBEdit,autre,0.7928571428571429
Wordpad,balisage et texte brut,0.7888888888888889
MS Outlook,autre,0.7833333333333333
Writer,autres bureautique (wysiwyg),0.7833333333333332
iCloud,autre,0.7833333333333332
personal solution,autre,0.7777777777777777
Keynote,autre,0.7666666666666666
QuarkXPress,autre,0.7619047619047619
Corel,autre,0.75
PDF creator,autre,0.75
RefWorks Flow,autre,0.7142857142857142
Kile,autre,0.7083333333333333
SVN (Subversion),autre,0.7
XMind,autre,0.7
xfig,autre,0.6666666666666666
texmacs,balisage et texte brut,0.6666666666666666
BibTeX,format/éditeur apparenté à TeX,0.6666666666666666
SPSS,autre,0.6666666666666666
HWP (Hangul / HanWord),autre,0.6666666666666666
Typewriter,autre,0.6666666666666666
TeXshop,format/éditeur apparenté à TeX,0.6666666666666666
peers / colleagues,autre,0.6666666666666666
Atlas TI,autre,0.65
Quip,autre,0.65
text files,balisage et texte brut,0.65
Note,balisage et texte brut,0.65
Sweave,autre,0.65
Seafile,autre,0.625
email,autres bureautique (wysiwyg),0.611111111111111
FreeMind,autre,0.6000000000000001
MultiMarkdown Composer,balisage et texte brut,0.6000000000000001
Mindmap,autre,0.6000000000000001
blog,autre,0.6
MS Access,autre,0.5833333333333333
CVS (Concurrent Versions System),autre,0.5833333333333333
FrameMaker,autre,0.5833333333333333
AutoCAD,autre,0.5833333333333333
app,autre,0.5833333333333333
Scapple,autre,0.575
version management,autre,0.5714285714285714
cloud,autre,0.5555555555555556
Bitbucket,autre,0.5333333333333333
MS Publisher,autres bureautique (wysiwyg),0.5333333333333333
ChemBioDraw,autre,0.5333333333333333
Cloudstor / Cloudstor+,autre,0.5333333333333333
CINDEX,autres bureautique (wysiwyg),0.5
research monographs,autre,0.5
Leo,autre,0.5
Typewriter online,autre,0.5
OpenDoc,autres bureautique (wysiwyg),0.5
cms,autre,0.5
CyberLeninka,autre,0.5
notebook,autre,0.5
Scientist,autre,0.5
APA (American Psychological Association),autre,0.5
Hidemaru,autre,0.5
Editorial (app),autre,0.5
EndNoteWeb,autre,0.5
ChemWorx,autre,0.5
open source office products,autres bureautique (wysiwyg),0.5
MS Win Notepad,autres bureautique (wysiwyg),0.5
MathCast,autre,0.5
ACM (Association for Computing Machinery) author profile page,autre,0.5
ChemOffice,autre,0.5
Softmaker Office,autres bureautique (wysiwyg),0.5
journal articles and textbooks,autre,0.5
Adobe Creative Cloud,autre,0.5
Wikiversity,autre,0.5
Prezi,autre,0.5
institutional server,autre,0.45
Notes,autre,0.45
MS Office Online,autre,0.45
WinEdit,autre,0.45
Dropbox Paper,autres bureautique (wysiwyg),0.45
AUCTeX,autre,0.45
OWL (Purdue),autre,0.4444444444444444
APA (American Psychological Association) manual,autre,0.4444444444444444
DevonThink,autre,0.41666666666666663
FocusWriter,balisage et texte brut,0.41666666666666663
publisher,autre,0.41666666666666663
MacDown,balisage et texte brut,0.4
Open Document Writer,autres bureautique (wysiwyg),0.4
ReST,autre,0.4
Basecamp,autre,0.4
MEPS eidtor,autre,0.4
ChemSketch,autre,0.4
RagTime,autre,0.4
Circus Ponies Notebook,autre,0.39285714285714285
IrfanView,autre,0.3666666666666667
Visio,autre,0.34285714285714286
Dokuwiki,balisage et texte brut,0.34285714285714286
SimpleMind,autre,0.3333333333333333
PhotoImpact,autre,0.3333333333333333
table editors,autre,0.3333333333333333
graph editors,autre,0.3333333333333333
Write,autre,0.3333333333333333
neooffice,autre,0.3333333333333333
gVim,balisage et texte brut,0.3333333333333333
Power point image conversion format,autre,0.3333333333333333
Grapher,autre,0.3333333333333333
Blender,autre,0.3333333333333333
DocOnce,balisage et texte brut,0.3333333333333333
Q10,balisage et texte brut,0.3333333333333333
Leafpad,balisage et texte brut,0.3333333333333333
Asciidoc,balisage et texte brut,0.3333333333333333
OfficeSuite Pro,autres bureautique (wysiwyg),0.3333333333333333
Typora,autre,0.3333333333333333
Telekom Mediencenter,autre,0.3333333333333333
Finale (notation software),autre,0.3333333333333333
word processing,balisage et texte brut,0.3333333333333333
San FranciscoEdit,autre,0.3333333333333333
MS Visio,autre,0.3333333333333333
Zimwiki,balisage et texte brut,0.3333333333333333
Marked2,balisage et texte brut,0.3333333333333333
Lotus Word Pro,autres bureautique (wysiwyg),0.3333333333333333
DocBook,balisage et texte brut,0.3333333333333333
Writer's Diet,autre,0.3333333333333333
OoWriter,autres bureautique (wysiwyg),0.3333333333333333
publishers' online workflow apps,autre,0.3333333333333333
iBooks,autre,0.3333333333333333
Ashampoo Office,autres bureautique (wysiwyg),0.3333333333333333
Collective Knowledge,autre,0.3333333333333333
nedit,balisage et texte brut,0.3333333333333333
F1000 Workbench,autre,0.3333333333333333
ArcGIS,autre,0.3333333333333333
Ginko (app),balisage et texte brut,0.3333333333333333
Scribd,autre,0.3333333333333333
restructured text for technical documentation,balisage et texte brut,0.3333333333333333
Zettelkasten,autre,0.3333333333333333
institutional solution,autre,0.3333333333333333
WriteMonkey,balisage et texte brut,0.3333333333333333
journal submission system,autre,0.3333333333333333
MS Office 365,autres bureautique (wysiwyg),0.3333333333333333
local tools,autre,0.3333333333333333
Lilypond,autre,0.3333333333333333
Rake,autre,0.3333333333333333
TexnicCenter,format/éditeur apparenté à TeX,0.325
OpenCloud,autre,0.2857142857142857
Moo,balisage et texte brut,0.2857142857142857
Notational Velocity,autre,0.2857142857142857
institutional shared drive,autre,0.25
Workflowy,autre,0.25
Ginger Translate,balisage et texte brut,0.25
OnlyOffice,autre,0.25
SourceTree,autre,0.25
EasyBib,autre,0.25
Google Scholar,autre,0.25
institutional collaboration environment,autre,0.25
StackEdit,balisage et texte brut,0.25
Redmine Wiki,balisage et texte brut,0.25
Mindjet,autre,0.25
Jupyter Notebook,balisage et texte brut,0.25
dbook,autre,0.25
iPad apps,autre,0.25
eduPad,balisage et texte brut,0.25
Everwrite,autre,0.25
Finding (app),autre,0.25
SDL,autre,0.25
1C,autre,0.25
Cite this for me,autre,0.25
Sente,autre,0.25
iNotebook,autre,0.25
nvALT,balisage et texte brut,0.25
Xodo Docs,autre,0.25
BRAHMS,autre,0.25
Shapes,autre,0.25
Python,autre,0.25
cloud storage,autre,0.25
Photos,autre,0.25
Calc,autre,0.25
Lynx,autre,0.25
Preview,autre,0.25
Peerla,autre,0.25
literature management program,autre,0.25
Igor,autre,0.25
ProCite,autre,0.25
IDL,autre,0.25
750words.com,autre,0.25
Overleaf,format/éditeur apparenté à TeX,0.25
Yandex Docuements,autre,0.25
Open Words,autre,0.25
Beamer,autre,0.25
Android applications,autre,0.25
TIMEVIEWER,autre,0.25
RTF editor,balisage et texte brut,0.25
SurfDrive,autre,0.2222222222222222
publishers' production platforms,autre,0.2222222222222222
Adobe Dreamweaver,autre,0.2222222222222222
Beaker,autre,0.2222222222222222
institutional cloud server,autre,0.2
MDL ISIS Draw,autre,0.2
ImageJ,autre,0.2
Aquamacs,balisage et texte brut,0.2
ArcView,autre,0.2
Snipping Tool,autre,0.2
Google Keep,balisage et texte brut,0.2
memo pad,balisage et texte brut,0.2
mi,autre,0.2
Sakura Editor,balisage et texte brut,0.2
Scratchpad,balisage et texte brut,0.2
MS SkyDrive,autre,0.2
Medium,autres bureautique (wysiwyg),0.2
text,balisage et texte brut,0.2
Matlab,autre,0.2
Penflip,autre,0.2
manuals/guidelines,autre,0.2
monographs and articles,autre,0.2
MindMaple,autre,0.2
mapping software,autre,0.2
PyMOL,autre,0.2
pLabel,autre,0.2
SciDavis,autre,0.2
Eclipse,balisage et texte brut,0.2
TexLipse,format/éditeur apparenté à TeX,0.2
abiword,autre,0.2
literature management programs,autre,0.2
Confluence wiki,balisage et texte brut,0.2
Kate,autre,0.2
Scriptdoc,balisage et texte brut,0.2
Linked Research,autre,0.2
carnet,autre,0.2
Works,autres bureautique (wysiwyg),0.2
PiratePad,balisage et texte brut,0.2
Bibdesk,autre,0.2
Writer Pro,balisage et texte brut,0.2
copy,autre,0.2
word to pdf converters (and vice versa),autres bureautique (wysiwyg),0.2
online platforms to store and share large files,autre,0.2
Statistica,autre,0.2
