tool,famille
MS Word,Word et apparentés
LaTeX,format/éditeur apparenté à TeX
Google Drive/Docs,Word et apparentés
OpenOffice,Word et apparentés
ShareLaTeX,format/éditeur apparenté à TeX
Overleaf (=WriteLaTeX),format/éditeur apparenté à TeX
Mendeley,autre
Evernote,autre
GitHub,format/éditeur de balisage léger
Bitbucket,autre
MS Excel,autre
MS Powerpoint,autre
Adobe Photoshop,logiciel d'infographie
Scrivener,wysiwyg bureautique
Scalar,autre
QuarkXPress,logiciel d'infographie
Adobe InDesign,logiciel d'infographie
Authorea,wysiwyg bureautique
Pages,wysiwyg bureautique
LibreOffice Writer,wysiwyg bureautique
Box,wysiwyg bureautique
Zotero,autre
WordPerfect,wysiwyg bureautique
TextWrangler,éditeur de texte brut
Dropbox,wysiwyg bureautique
ownCloud,wysiwyg bureautique
format/éditeur de balisage léger,format/éditeur de balisage léger
LibreOffice,wysiwyg bureautique
EndNote,autre
Papers (papersapp.com),wysiwyg bureautique
by hand,autre
SimpleMind,autre
institutional server,autre
Adobe Reader,autre
email,wysiwyg bureautique
Reference Manager,autre
Papyrus,autre
LyX,format/éditeur apparenté à TeX
TextEdit,éditeur de texte brut
xfig,logiciel d'infographie
RevMan (Review Manager),autre
institutional shared drive,autre
Manuscripts (manuscripts.app),wysiwyg bureautique
Notepad++,éditeur de texte brut
RefWorks,autre
Gramarly,éditeur de texte brut
texmacs,éditeur de texte brut
Sublime Text Editor,éditeur de texte brut
MS OneDrive,wysiwyg bureautique
PhotoImpact,logiciel d'infographie
Adobe Illustrator,logiciel d'infographie
CINDEX,wysiwyg bureautique
CorelDraw,logiciel d'infographie
research monographs,autre
Emacs,éditeur de texte brut
OrgMode (Emacs),éditeur de texte brut
MS Publisher,wysiwyg bureautique
R,autre
Adobe Acrobat,autre
MS Access,autre
pdf,autre
MathType,autre
Origin,autre
graphics software,autre
Scientific Word,wysiwyg bureautique
OpenOffice Writer,wysiwyg bureautique
Rmarkdown,format/éditeur de balisage léger
RStudio,autre
Etherpad,éditeur de texte brut
Atom,éditeur de texte brut
GIMP,logiciel d'infographie
GraphPad,logiciel d'infographie
GraphPad PRISM,logiciel d'infographie
Pandoc,autre
ChemBioDraw,autre
Atlas TI,autre
Citavi,autre
Keynote,autre
Workflowy,autre
wiki,format/éditeur de balisage léger
TeX,format/éditeur apparenté à TeX
Ginger Translate,éditeur de texte brut
Alternote,format/éditeur apparenté à TeX
MS OneNote,wysiwyg bureautique
table editors,autre
graph editors,autre
InkScape,logiciel d'infographie
Git,autre
Manuscript,autre
text editor,éditeur de texte brut
Leo,éditeur de site web
Write,autre
Adobe Acrobat Pro,autre
Google Earth,autre
iPhoto,
CVS (Concurrent Versions System),
knitr,
Numbers,
HTML editor,éditeur de site web
Wordpress,éditeur de site web
Omeka,
SVN (Subversion),
GitLab,
neooffice,
OnlyOffice,
Nisus Writer,
institutional cloud server,
WPS,
computer,
scan,
MDL ISIS Draw,
gVim,éditeur de texte brut
BBEdit,
Adobe,
Mindmanager,
Power point image conversion format,
SourceTree,
ImageJ,
Typewriter online,
Vim,éditeur de texte brut
Docear,
Byword,
iWork,
Nota Bene,
Ulysses,format/éditeur de balisage léger
EasyBib,
Google Scholar,autre
institutional collaboration environment,
Scribus,logiciel d'infographie
MS Paint,logiciel d'infographie
iA Writer,éditeur de texte brut
MacDown,format/éditeur de balisage léger
Scientific Workplace,format/éditeur apparenté à TeX
blog,éditeur de site web
FrameMaker,
Aquamacs,éditeur de texte brut
Grapher,
Writer,wysiwyg bureautique
Blender,
Notepad,éditeur de texte brut
DocOnce,format/éditeur de balisage léger
Q10,éditeur de texte brut
OpenDoc,wysiwyg bureautique
Paper,
MS Picture,logiciel d'infographie
Mathematica,
Leafpad,éditeur de texte brut
Asciidoc,format/éditeur de balisage léger
OfficeSuite Pro,wysiwyg bureautique
ArcView,
Snipping Tool,
MS Sharepoint,wysiwyg bureautique
Google Keep,éditeur de texte brut
oXygen XML editor,tei/xml
TeXStudio,format/éditeur apparenté à TeX
memo pad,éditeur de texte brut
mi,
Sakura Editor,éditeur de texte brut
Scratchpad,éditeur de texte brut
BibTeX,format/éditeur apparenté à TeX
JabRef,
SPSS,
Open Document Writer,wysiwyg bureautique
Texmaker,format/éditeur apparenté à TeX
Kile,
FreeMind,
Mellel,
cms,
Typora,
MS SkyDrive,
OpenCloud,
Notes,
Medium,wysiwyg bureautique
Letterspace,
ChemDraw,
Telekom Mediencenter,
Quip,
Finale (notation software),
word processing,éditeur de texte brut
Tinderbox,
StackEdit,format/éditeur de balisage léger
text,éditeur de texte brut
CyberLeninka,
Dragon,
MathCAD,
ReST,
San FranciscoEdit,
DevonThink,
Visio,
SigmaPlot,
Redmine Wiki,format/éditeur de balisage léger
Deckset,
Matlab,
Ilias,
Penflip,
manuals/guidelines,
monographs and articles,
MS Visio,logiciel d'infographie
yWriter,wysiwyg bureautique
Mindjet,
version management,
mobile note app,
MindMaple,
mapping software,
notebook,
CRITICAL,
MINEQL+,
Scientist,
MS Outlook,
Zimwiki,format/éditeur de balisage léger
Jupyter Notebook,format/éditeur de balisage léger
Marked2,format/éditeur de balisage léger
Basecamp,
HWP (Hangul / HanWord),
Lotus Word Pro,wysiwyg bureautique
TexnicCenter,format/éditeur apparenté à TeX
MEPS eidtor,
Vi,éditeur de texte brut
MS Office Online,
dbook,
APA (American Psychological Association),
PyMOL,
pLabel,
SciDavis,
iCloud,
Typewriter,
XMind,
iPad apps,
Moo,format/éditeur de balisage léger
Eclipse,éditeur de texte brut
