tool,cat,compte
MS Word,wysiwyg bureautique,8220.38690476092
Google Drive/Docs,wysiwyg bureautique,2334.9449855699622
LaTeX,tex,1409.391666666673
inconnu,autre,178.86785714285722
Scrivener,wysiwyg bureautique,173.64895382395358
Overleaf (=WriteLaTeX),tex,115.8672077922081
LibreOffice,wysiwyg bureautique,91.24444444444461
Pages,wysiwyg bureautique,79.18019480519492
Dropbox,wysiwyg bureautique,74.24390331890339
OpenOffice,wysiwyg bureautique,74.23495670995686
Authorea,wysiwyg bureautique,52.38279220779231
EndNote,autre,28.339682539682503
Scalar,autre,25.74606782106781
MS Powerpoint,autre,25.598015873015854
Evernote,autre,24.35079365079365
LibreOffice Writer,wysiwyg bureautique,19.903030303030295
MS Excel,wysiwyg bureautique,18.68690476190475
LyX,tex,16.446428571428573
ShareLaTeX,tex,15.514285714285709
WordPerfect,wysiwyg bureautique,15.141666666666671
Markdown,,14.876623376623373
Adobe InDesign,logiciel d'infographie,13.751443001443008
Adobe Illustrator,logiciel d'infographie,10.419047619047616
Zotero,autre,10.169444444444444
Adobe Photoshop,logiciel d'infographie,9.86493506493507
MS OneNote,wysiwyg bureautique,9.613888888888884
RMarkdown,,9.278571428571428
by hand,autre,8.454761904761908
OpenOffice Writer,wysiwyg bureautique,8.011904761904766
Pandoc,autre,7.062698412698414
Citavi,autre,6.683333333333333
MS OneDrive,wysiwyg bureautique,6.647222222222222
Ulysses,balisage léger,5.966666666666666
Emacs,texte brut,5.690909090909093
Box,wysiwyg bureautique,5.3345238095238106
text editor,texte brut,5.32857142857143
OrgMode (Emacs),texte brut,4.776190476190476
GitHub,balisage léger,4.473412698412701
Etherpad,texte brut,4.295634920634922
GraphPad PRISM,logiciel d'infographie,4.226190476190478
Papers (papersapp.com),wysiwyg bureautique,4.06904761904762
Adobe Acrobat,autre,3.9696969696969697
Mendeley,autre,3.8333333333333344
Mellel,autre,3.824603174603175
RefWorks,autre,3.628571428571429
pdf,autre,3.571428571428571
RStudio,autre,3.557142857142857
Reference Manager,autre,3.4666666666666677
graphics software,autre,3.366666666666667
Scientific Workplace,autre,3.233333333333334
Sublime Text Editor,texte brut,3.219047619047619
CorelDraw,logiciel d'infographie,3.1357142857142857
TextEdit,texte brut,3.016666666666667
iA Writer,texte brut,2.9845238095238096
Manuscripts (manuscripts.app),wysiwyg bureautique,2.95
ChemDraw,autre,2.9166666666666665
knitr,autre,2.8666666666666663
Notepad,texte brut,2.8583333333333334
Vim,texte brut,2.770634920634921
Git,autre,2.7583333333333333
Notepad++,texte brut,2.7266233766233765
Adobe,autre,2.6166666666666663
InkScape,logiciel d'infographie,2.574242424242424
GIMP,logiciel d'infographie,2.5428571428571427
wiki,balisage léger,2.4928571428571424
Atom,texte brut,2.4119047619047618
Gramarly,texte brut,2.333333333333333
RevMan (Review Manager),autre,2.1666666666666665
WPS,autre,2.1166666666666667
Mathematica,autre,1.916666666666667
Nisus Writer,autre,1.861904761904762
Adobe Acrobat Pro,autre,1.8519841269841266
MathType,autre,1.8333333333333333
Adobe Creative Suite,logiciel d'infographie,1.7666666666666664
R,autre,1.75
Wordpress,éditeur de site web,1.717099567099567
Origin,autre,1.7
MS Sharepoint,wysiwyg bureautique,1.6999999999999997
Scribus,logiciel d'infographie,1.6666666666666667
Byword,autre,1.4000000000000001
Docear,autre,1.4
Manuscript,autre,1.4
Texmaker,tex,1.3583333333333334
MS Word Online,wysiwyg bureautique,1.3499999999999999
Tinderbox,autre,1.25
Dragon,autre,1.25
iWork,autre,1.2261904761904763
Paper,autre,1.2166666666666668
TextWrangler,texte brut,1.193290043290043
Adobe Reader,autre,1.1666666666666665
ownCloud,wysiwyg bureautique,1.1666666666666665
Nota Bene,autre,1.1666666666666665
MS Paint,logiciel d'infographie,1.165909090909091
HTML editor,éditeur de site web,1.1409090909090909
MathCAD,autre,1.1166666666666667
Numbers,autre,1.1166666666666665
TeX,tex,1.0833333333333333
mobile note app,autre,1.0833333333333333
Sibelius,autre,1.0333333333333332
OCT,autre,1.027777777777778
SigmaPlot,autre,1.0095238095238095
Scientific Word,wysiwyg bureautique,1
oXygen XML editor,tei/xml,0.9833333333333334
MediaWiki,balisage léger,0.95
NVIVO,autre,0.9
JabRef,autre,0.9
Mou,balisage léger,0.857142857142857
Mindmanager,autre,0.8500000000000001
TeXStudio,tex,0.8500000000000001
Papyrus,autre,0.8333333333333333
MS Office,wysiwyg bureautique,0.8333333333333333
Vi,texte brut,0.8095238095238095
BBEdit,autre,0.7928571428571429
Wordpad,texte brut,0.7888888888888889
MS Outlook,autre,0.7833333333333333
iCloud,autre,0.7833333333333332
Writer,wysiwyg bureautique,0.7833333333333332
personal solution,autre,0.7777777777777777
Keynote,autre,0.7666666666666666
QuarkXPress,logiciel d'infographie,0.7619047619047619
PDF creator,autre,0.75
Corel,logiciel d'infographie,0.75
RefWorks Flow,autre,0.7142857142857142
Kile,autre,0.7083333333333333
SVN (Subversion),autre,0.7
XMind,autre,0.7
SPSS,autre,0.6666666666666666
HWP (Hangul / HanWord),autre,0.6666666666666666
xfig,logiciel d'infographie,0.6666666666666666
peers / colleagues,autre,0.6666666666666666
Typewriter,autre,0.6666666666666666
texmacs,texte brut,0.6666666666666666
BibTeX,tex,0.6666666666666666
TeXshop,tex,0.6666666666666666
text files,texte brut,0.65
Sweave,autre,0.65
Note,texte brut,0.65
Quip,autre,0.65
Atlas TI,autre,0.65
Seafile,autre,0.625
email,wysiwyg bureautique,0.611111111111111
Mindmap,autre,0.6000000000000001
MultiMarkdown Composer,balisage léger,0.6000000000000001
FreeMind,autre,0.6000000000000001
blog,éditeur de site web,0.6
app,autre,0.5833333333333333
FrameMaker,autre,0.5833333333333333
AutoCAD,autre,0.5833333333333333
CVS (Concurrent Versions System),autre,0.5833333333333333
MS Access,autre,0.5833333333333333
Scapple,autre,0.575
version management,autre,0.5714285714285714
cloud,autre,0.5555555555555556
Cloudstor / Cloudstor+,autre,0.5333333333333333
Bitbucket,autre,0.5333333333333333
ChemBioDraw,autre,0.5333333333333333
MS Publisher,wysiwyg bureautique,0.5333333333333333
ACM (Association for Computing Machinery) author profile page,autre,0.5
CyberLeninka,autre,0.5
ChemOffice,autre,0.5
ChemWorx,autre,0.5
Editorial (app),autre,0.5
Prezi,autre,0.5
MS Win Notepad,wysiwyg bureautique,0.5
Scientist,autre,0.5
APA (American Psychological Association),autre,0.5
Adobe Creative Cloud,logiciel d'infographie,0.5
notebook,autre,0.5
cms,autre,0.5
EndNoteWeb,autre,0.5
OpenDoc,wysiwyg bureautique,0.5
MathCast,autre,0.5
research monographs,autre,0.5
CINDEX,wysiwyg bureautique,0.5
Leo,éditeur de site web,0.5
journal articles and textbooks,autre,0.5
Hidemaru,autre,0.5
