tool,cat,compte
MS Word,wysiwyg bureautique,8220.38690476092
Google Drive/Docs,wysiwyg bureautique,2334.9449855699622
LaTeX,tex,1409.391666666673
inconnu,autre,178.86785714285722
Scrivener,wysiwyg bureautique,173.64895382395358
Overleaf (=WriteLaTeX),tex,115.8672077922081
LibreOffice,wysiwyg bureautique,91.24444444444461
Pages,wysiwyg bureautique,79.18019480519492
Dropbox,wysiwyg bureautique,74.24390331890339
OpenOffice,wysiwyg bureautique,74.23495670995686
Authorea,wysiwyg bureautique,52.38279220779231
